basejob,subjob,server,char_name,char_fame,character_ids
격투가(남),眞 그래플러,cain,범접,59519,5fb6a90d3084b0282b33df556da96491
격투가(남),眞 그래플러,cain,강단-그플,59838,2447cc0a268125274f6e7757a257bb9a
격투가(남),眞 그래플러,cain,꽃미남,59656,1fcc01b0ca700ce2098f1f3b046c894f
격투가(남),眞 그래플러,diregie,흑돈,60495,59cfe4100b0815886ee15328b32453c8
격투가(남),眞 그래플러,cain,김성욱사랑견,60622,1ec59a1d0f2f1084390904bcf4a4ae30
격투가(남),眞 그래플러,siroco,흑웅,59766,3cfd16898ab3a05751d02c662e0d77e6
격투가(남),眞 그래플러,bakal,20140124,59615,e3fc3a38926bcd7693d523cce5892f5c
격투가(남),眞 그래플러,diregie,던게,58848,a7bbb26b44ea29731060b9f85b7b2570
격투가(남),眞 그래플러,cain,낙타,60495,80e2e5fcd56e8e8035c8b053b2d9e98c
격투가(남),眞 그래플러,cain,서짜이,58049,047c2a50f348571b7451fd468ac88677
격투가(남),眞 그래플러,cain,강홀,58730,237d2c1f7738a326aede4ad046b12fa5
격투가(남),眞 그래플러,diregie,유일천,58870,661f76e1c0461319e597cb63b9d3a1b9
격투가(남),眞 그래플러,cain,키시이유키노,58651,77a42f48267ad812376cfe6e3bd4267c
격투가(남),眞 그래플러,bakal,루짜,60067,22e73af48a48203e2dd6d5b219286f5b
격투가(남),眞 그래플러,bakal,크난♥,60297,f1669b230dfad0f36a20af583b7186c1
격투가(남),眞 그래플러,hilder,라예르,58398,8950e566b0c2fff6115dc14b1b52f0fc
격투가(남),眞 그래플러,diregie,씨름왕윤한제,59250,4c006159ff9dd4dddfc7a724ebaebae0
격투가(남),眞 그래플러,diregie,점심먹고와캐,59285,cae3daf2a6c38a7c11237a82bdd185b1
격투가(남),眞 그래플러,casillas,짜.이.맨,58499,55749866dac9dc3d7680f09fe0dc178a
격투가(남),眞 그래플러,siroco,권룡,60151,77de447c32fccbe3662aed6132e10812
격투가(남),眞 그래플러,prey,보리탄산,59101,a461b8b561f70c11d81f5932fa80499f
격투가(남),眞 그래플러,prey,짜이,59558,60f8e6d398262cffdfef02b785f7b2f9
격투가(남),眞 그래플러,prey,귀진o,58422,3cce90ccadf0fcbfa88aa4ede2652cca
격투가(남),眞 그래플러,cain,복쇠,58688,bb0bbbb2a8742a8599e7f73c13c9129a
격투가(남),眞 그래플러,bakal,분노의질주,59237,87eddeed2c2979abd6a01892ade0e907
격투가(남),眞 그래플러,anton,암속짜이맨,59621,cc571a552ac11515c00ecf768b2997b9
격투가(남),眞 그래플러,siroco,실리카겔,58992,42450ac14acb355aa33fc185737a95cf
격투가(남),眞 그래플러,bakal,소율짜이,58824,1ecbac4d008e38597b8bfcb389ba21b7
격투가(남),眞 그래플러,casillas,모압그플,58031,5dbfc7c76c13b5c0cd57abaa621019f1
격투가(남),眞 그래플러,cain,근육요싱이º,58673,450b60ecb0ebec1dcc3301273ffb47be
격투가(남),眞 그래플러,cain,결점골든베릴,58231,22edad719c90bef393edcf4e7b94dc35
격투가(남),眞 그래플러,diregie,브라우니ⁿ,59037,309b25b15868f31ccf02c025846ccc69
격투가(남),眞 그래플러,cain,매치고본다,58772,317635ac2cedb6853f29f6df90998feb
격투가(남),眞 그래플러,cain,정총무가뛴다,58473,d78f87abf8963e4d5dfa12a76ea10f59
격투가(남),眞 그래플러,cain,ㅈ돌이,59587,a90bf40eb51c313da03311ce0a254b1c
격투가(남),眞 그래플러,cain,한놈만팬다:,59104,06478de7a700c4842379a23fcdef4e2d
격투가(남),眞 그래플러,hilder,호박고구먀,58421,ef1837dafd16e7d94319204ca7a0659b
격투가(남),眞 그래플러,casillas,유밀,58372,19beea29e77d3acd01193ca2873b06e5
격투가(남),眞 그래플러,diregie,느림,56946,324f5757a4f685ac136e8dd10ba383c7
격투가(남),眞 그래플러,cain,롱노즈캣맘,59105,279bbd5224fa2f2b32467ad490aeea2c
격투가(남),眞 그래플러,bakal,GTS^ErroR,59469,aad23b6b6ad47a19aa297a9211dce793
격투가(남),眞 그래플러,diregie,참기름김허무,58276,f31b534f1d474bb3d36fef8425546686
격투가(남),眞 그래플러,casillas,인남짜,59194,9378b6f7344d0872f1df3a827005fd8e
격투가(남),眞 그래플러,cain,짜이언트의길,59137,89f2563a5e2f8c74d05b992324346f20
격투가(남),眞 그래플러,siroco,놓아줘,59271,f61edfb31bb6c82ba1bc12f961925399
격투가(남),眞 그래플러,cain,옹터,58992,5df48cfddaec4b840164bac922277869
