basejob,subjob,server,char_name,char_fame,character_ids
격투가(여),眞 그래플러,cain,국무총리,60191,c2c90f1875ad1f1ca48abe5bad8051f9
격투가(여),眞 그래플러,hilder,소라디바,60024,c07b5921bbfe03ee56586b75ec9f6a7d
격투가(여),眞 그래플러,diregie,암살단디바,57989,71e658b685a709bef57c411952ed0800
격투가(여),眞 그래플러,cain,번욱,59155,72397b57f0a4415d529da29516959ec1
격투가(여),眞 그래플러,siroco,얼굴만유딩,59976,f707574108483544823fc8face56a818
격투가(여),眞 그래플러,siroco,그에게,60814,c65e498cc5e167ec148c17214856ce03
격투가(여),眞 그래플러,diregie,성실한토리,60877,19ffee8ed977fa8f6317e03cea46f7bd
격투가(여),眞 그래플러,cain,봄꽃디바,59780,1d303405676c712c32dde1e74e5f7d68
격투가(여),眞 그래플러,cain,잡벌자,59730,bea785d43237cca6371a3fea2b8f6f0f
격투가(여),眞 그래플러,hilder,힐훅,59891,fa9e9ab029dcd0685f76a9a9011cef1d
격투가(여),眞 그래플러,prey,동글한,59119,4f41492e1b3e07b6c5bdd6c50e065b9b
격투가(여),眞 그래플러,casillas,페코리누,59772,6dd49cda591915e4195bd44fa88d1d5a
격투가(여),眞 그래플러,casillas,추노(언년이),59571,94e747882e0526657bea138ada32ca38
격투가(여),眞 그래플러,prey,잘나가는배우,60883,3d95cac5780c1482a3e374b124415f44
격투가(여),眞 그래플러,bakal,기세의디바,59133,6dd8ec534704a4efc90cb4b0604cb416
격투가(여),眞 그래플러,prey,청정수토네,59328,7e16a2363a81cfdc425919466aba1863
격투가(여),眞 그래플러,bakal,보우건상향좀,59547,ab22e6c3b80caa34c7184cff59c44aa8
격투가(여),眞 그래플러,prey,쫄깃한느굴리,59829,2a261dbfd6a41d07776f9621eb45b179
격투가(여),眞 그래플러,diregie,바요엔,60497,b444d71645ccc1a56e3f38dcdab832b6
격투가(여),眞 그래플러,prey,AssDrum,58698,472dfe5b9512b1ca9dc0fba2bb7791c1
격투가(여),眞 그래플러,casillas,나희도,59148,f71e9b59211e137581571eab7645ceac
격투가(여),眞 그래플러,bakal,Sirene,57958,44e415ac2e161448d2cfb46092ac82a2
격투가(여),眞 그래플러,cain,재야의준,60248,6cfe11424d1a1c836be3e20449b0f6ef
격투가(여),眞 그래플러,anton,디바윤,58284,a009ff6fa2e4a39e90a676ef64935ae9
격투가(여),眞 그래플러,bakal,2019.0518,58689,c1c96f36f4db5e21c0cb0db1c6603f94
격투가(여),眞 그래플러,cain,퓨가는도는중,60740,c7184e48eac96f579bce22a6363d748c
격투가(여),眞 그래플러,casillas,뷔가오는날,60814,63427942f26446d0351ef3024866b23f
격투가(여),眞 그래플러,cain,마아스,60228,30c81770f6c5b00dce03d3e2174fbbd6
격투가(여),眞 그래플러,prey,HardRandom,59654,d6afd6631db59c62fb22427c45a7980c
격투가(여),眞 그래플러,cain,CD4+,58511,980c04e66a047a8c81341c1360636592
격투가(여),眞 그래플러,prey,츠키요미,60294,e98fff106b6281da5ce9f1b4bac056b6
격투가(여),眞 그래플러,siroco,얼티밋디바,59539,a280d63b2de80242e947985ff0b88838
격투가(여),眞 그래플러,bakal,레트로그플,58313,849b8f70f0374424f364cee83d0dcfd7
격투가(여),眞 그래플러,prey,메리디바,59129,db2b6e45bc798dddcf277588013ba600
격투가(여),眞 그래플러,diregie,4LeaF,58204,8b3e7ebc1348a49d206e4ec6dfd129d1
격투가(여),眞 그래플러,casillas,고유림,58274,cc33a65dbbd2f5d3366ab7621fd58e4d
격투가(여),眞 그래플러,anton,샤휘,58369,9b8c8ad07cad7b5861ab107cd4976afc
격투가(여),眞 그래플러,hilder,눈사슴,58627,48f37f39b304ea8dc9f1a4d9b2680606
격투가(여),眞 그래플러,hilder,모구오구리,58426,b2a9d74ef308948e69b05bfd805a90b8
격투가(여),眞 그래플러,cain,돌아온강렬해,59259,d1567a6bae2e911ac44d3ec2b6cdf9e1
격투가(여),眞 그래플러,hilder,은향서리,58594,c91b89f222250b21b6613ac196aed473
격투가(여),眞 그래플러,diregie,잡기계의대부,58616,070acb3df6bc3f2c2138826fb8cbbfa9
격투가(여),眞 그래플러,bakal,찢밥,58238,eb7beca6a74b6c0fd18147502c645604
격투가(여),眞 그래플러,diregie,ミュ우네,59227,aeee02ef5bfe9187d0d358ff6d050cc5
격투가(여),眞 그래플러,prey,NB얼디,58908,c38cfe5df4425737978f62172e7683f4
격투가(여),眞 그래플러,cain,짱련,58383,82e81578c8e450ff21929b4430748e70
격투가(여),眞 그래플러,cain,잡.다.캐.릭,59214,922c621a351a46380995cb2e3ba7bfec
격투가(여),眞 그래플러,cain,멀티저스,59040,5931bf57d35bcf484d080b9d720170c4
격투가(여),眞 그래플러,cain,붙어,60214,82322d75145bb7545806058d5611ec15
격투가(여),眞 그래플러,bakal,묭ㆍ,58478,ddce35191bf707141647cce87087fe32
격투가(여),眞 그래플러,prey,피깃,58872,1b648cf7e4cb096f62a6ceffaba07630
격투가(여),眞 그래플러,diregie,토네도셉니다,59180,6c0614751a1aa7182398c54dc2487e25
격투가(여),眞 그래플러,hilder,燕,59075,5dd1ce8675aea38137143486a0ecbfff
격투가(여),眞 그래플러,cain,못생긴련담배,58430,9f174f3d3dd44b95c3db4a55a12a2b51
격투가(여),眞 그래플러,prey,정크☆스핀,59314,77b3ce3658346d071b8ba004db6e2df9
격투가(여),眞 그래플러,bakal,바닐라퍼먹어,59512,85f7f15b0cc2853e1f2ca23d77891492
격투가(여),眞 그래플러,anton,티,59214,ee6fd0ff5cc4f88e7aff06ad0ca191de
격투가(여),眞 그래플러,cain,하루프로,58697,3fbe9121b6d5865b10d036b510378906
격투가(여),眞 그래플러,siroco,ArmorBreaker,58209,45d7078b3eba17c29db769ea0db73f54
격투가(여),眞 그래플러,casillas,몰라얼디함,58295,e0826e6efe70161f09f70fecf0d12580
격투가(여),眞 그래플러,cain,상큼그플,58856,39730b141e2d1a031de20fb13a13ec6b
격투가(여),眞 그래플러,cain,곰하르방,59073,7c1b4ae3bc4fff7b7163c9f805fa85d7
격투가(여),眞 그래플러,prey,평타반복,57590,42691ff3879148302a6a10743c99dddd
격투가(여),眞 그래플러,siroco,여우별이,58430,d79184167b736295b69d3a98b684f7e7
격투가(여),眞 그래플러,siroco,키세로스,58623,d22205f3310f548cdeb58db02de9362e
격투가(여),眞 그래플러,siroco,Catch,59150,1c48025e2377b486de09f4dc18076fbd
격투가(여),眞 그래플러,cain,뼛속까지얼디,58398,11adaf842c700cb21b1e596027243334
격투가(여),眞 그래플러,cain,턴힐찍음,59244,3569fe3e24cf653b24872e6ebb71938e
격투가(여),眞 그래플러,cain,이기집에,59448,db36f57f2dad5a32c5c0d0644aa739b1
격투가(여),眞 그래플러,cain,진근래플러,58357,794424503a0846c91e278bdc48d43bfe
격투가(여),眞 그래플러,cain,율디바,59180,8e134d876002da0bd56ab13c45f0d374
격투가(여),眞 그래플러,cain,4171,58183,10aba8616e33767ceae113f22f218015
격투가(여),眞 그래플러,hilder,선나원,59014,efa3adc2cf35b55e717096d5abd806a4
격투가(여),眞 그래플러,anton,멱살빵빵,57774,fe39b5009861c4b2f3d88c0897befbf7
격투가(여),眞 그래플러,prey,반잡보틀,57750,8e18c5d68ffd37eeb92b6a1ae522a2e6
격투가(여),眞 그래플러,anton,태장,57897,0730f150cd33a84c81b10f2f76ee57db
격투가(여),眞 그래플러,cain,레인얼디,58503,32363dc5aebc5e28bde9fe08e57fd7a3
격투가(여),眞 그래플러,cain,나는손,58100,f1102427c5bd6b40c2bc81b8b88de325
격투가(여),眞 그래플러,hilder,내악력은65kg,58754,18dc710d86690ea36ae7c9e8da848879
격투가(여),眞 그래플러,casillas,Roto_D.Va,58407,2c64aa456534ade8d99b03632fc3129c
격투가(여),眞 그래플러,hilder,님잠깐반잡좀,59759,ebe2e770e0af747cd5052d67db0aa88f
격투가(여),眞 그래플러,cain,BraveLotus,59148,c950ce92d3d51d9d8c60cbdfd0c40e25
