basejob,subjob,server,char_name,char_fame,character_ids
격투가(여),眞 넨마스터,cain,플티스,59941,c6d3120dff328bb3493868ca4e971b52
격투가(여),眞 넨마스터,bakal,하스,60191,cebe3fd158a1bfe5f86d2b31284036f9
격투가(여),眞 넨마스터,anton,코오뭉치,60586,a3fe8127b8a28783406ef348cde1e807
격투가(여),眞 넨마스터,prey,아스테리움,59778,c4e544c89a73b040d6941454793c3d5a
격투가(여),眞 넨마스터,cain,JusticeZero,59443,d2c5736ed1fbc033f91323c4a53256c9
격투가(여),眞 넨마스터,cain,Sualocin,60135,b82e1dd12cf685a03be05c47cfc2a44e
격투가(여),眞 넨마스터,prey,포스기,60205,fbc54b7cbcf71a8abe34c5db607d4b94
격투가(여),眞 넨마스터,cain,우트나,58869,df40fbc4af1037095e7547a31b0876e1
격투가(여),眞 넨마스터,prey,나나,61411,d9191d34de0d133fbf16938e53065fc4
격투가(여),眞 넨마스터,cain,즈큥,60897,84017d3a62a69f202768cb4ca474941a
격투가(여),眞 넨마스터,cain,쥬시o,60872,983d02014052b964338ef1e2dea7a75e
격투가(여),眞 넨마스터,siroco,붕어넨마,59705,9ea14bc8433a6db41dfdbee1b1a6181c
격투가(여),眞 넨마스터,diregie,염제콘,60749,8914175f228802ac4c4f1c244a1b8819
격투가(여),眞 넨마스터,anton,QuESeRssErs,60430,9ee3a922e95fad89a9890e41eb73bd79
격투가(여),眞 넨마스터,bakal,염제사보,58787,dfef6da2361e00d1096540c33534cf43
격투가(여),眞 넨마스터,cain,유리릴,60440,d5437c69d8462f4f5aaf477099782307
격투가(여),眞 넨마스터,diregie,서댕잉,59433,4f6b6a32d42707e08dea7904285b6ef1
격투가(여),眞 넨마스터,bakal,`백화,58794,86a440fd4ffa242cf7a86b6ec417e7d7
격투가(여),眞 넨마스터,cain,레몬색양양이,59871,f3c9b30c7b101eaaa196a5f3e05043b6
격투가(여),眞 넨마스터,hilder,섬롱,58822,b5fe1739e23711e01edc46860be4fdad
격투가(여),眞 넨마스터,cain,₃H,59380,56155e931cd8a201a3c07a6525acf63a
격투가(여),眞 넨마스터,bakal,적연,60197,5105ecd9d45fe62442d4032f20c9c178
격투가(여),眞 넨마스터,cain,이마딴딴,59621,6e2f8b32effc0cbfc92bee207edd69c7
격투가(여),眞 넨마스터,casillas,사이누스,59390,6dc4e124d17acdf226b3aad163107194
격투가(여),眞 넨마스터,diregie,백란.,59119,9036535378713595af8d7c3424adef85
격투가(여),眞 넨마스터,siroco,빨간염제,59585,45104f1e412af7143441f9fbb55a9725
격투가(여),眞 넨마스터,anton,연단안된칼날,58872,5f45990d0601e994613f54b7513fe494
격투가(여),眞 넨마스터,prey,뼴,59290,fbfe20d583eb2930939dfe53a625fae7
격투가(여),眞 넨마스터,cain,넨마의아버지,59733,cdffaa82c9e163ee26b9c9ffa39c8c3c
격투가(여),眞 넨마스터,casillas,WeddingDay♡,59015,c311b1886c8973bfc4dcd07b3c15bdfb
격투가(여),眞 넨마스터,prey,sagittariusA,60181,d805792a4d0aa44e22dce5d6ba33cb71
격투가(여),眞 넨마스터,prey,염통킴,59708,9bfe7e30a4d348086dfad71763352df6
격투가(여),眞 넨마스터,cain,디펜바키아,58890,2c8121199119a19d9ec65860de2358de
격투가(여),眞 넨마스터,diregie,Ahri,58584,3006af447c69c6deea0dc8686d270c90
격투가(여),眞 넨마스터,cain,천가람,59553,1435b691190c422685d9c9c206a959af
격투가(여),眞 넨마스터,prey,대팔님,58923,d1c288c28ac683b7b4ef6d4b5e0c479b
격투가(여),眞 넨마스터,cain,꿈처럼황홀한,60201,90c7c5cd18cab8c7547e232eaaa0701f
격투가(여),眞 넨마스터,cain,범이염제,58697,7764c11fcecb7b323ade8616cd09ac3e
격투가(여),眞 넨마스터,hilder,염청,58567,f24d11ee29e11bd0de3401a56c814435
격투가(여),眞 넨마스터,anton,카노,59109,b9646637aad87c88b731a11649cb1800
격투가(여),眞 넨마스터,casillas,댕굴튀김,58793,530a3ee468f0236d0db377bc503b2b01
격투가(여),眞 넨마스터,cain,프린스별이,60495,268677ad36e96e270e9c453e0690b5ba
격투가(여),眞 넨마스터,anton,황꽃,58998,ef5c28dab2a11cb00bb9bf6bbc170481
격투가(여),眞 넨마스터,casillas,휴하,60459,aaca4ad5d5aace49207b5a4a681d7399
격투가(여),眞 넨마스터,diregie,은국화,59480,0395ba5397fe0360e591f2590d985df3
격투가(여),眞 넨마스터,cain,KIMDASOL,58608,2a455595391550c99283f7db73687d76
격투가(여),眞 넨마스터,hilder,포실이,59126,e23a031b6818565cc54c2d7bf156f332
격투가(여),眞 넨마스터,prey,신슬미,59780,e00cd985934d3f9c0bb9fd271c9efc44
격투가(여),眞 넨마스터,cain,츠롤이,60149,636ef804ce1e0bdbaa9eaf8e6781e84f
격투가(여),眞 넨마스터,cain,라꾸22,59148,d8c5f596377d6295472038091de6abef
격투가(여),眞 넨마스터,cain,활성화순결,58657,c9e22d5b1c7d3907ff00c2ed347f8126
격투가(여),眞 넨마스터,prey,레비,59833,9112da6184343f0235741c5c24e60397
격투가(여),眞 넨마스터,cain,염제숲들,59434,0a754cf9a32c5b05c8b9b3dc1df78b48
격투가(여),眞 넨마스터,bakal,Harunohi,60572,4f4ec1b0c753577c4b9304329ae5e61f
격투가(여),眞 넨마스터,prey,솔캠,58980,99fc32571bfb1f8605af76e2d839f14f
격투가(여),眞 넨마스터,bakal,염제하리,59382,6c898b0c0e9a013971748cbd14d2449a
격투가(여),眞 넨마스터,casillas,전격히메,59560,57bfd7e4a45d7dd464cc1cc637939819
격투가(여),眞 넨마스터,prey,카이소리,58688,6e645efeb526fcf140edd882f09e756d
격투가(여),眞 넨마스터,cain,Catchcat,59494,28f63626ad9426b6fdba494b7202f272
격투가(여),眞 넨마스터,anton,새하얌,59822,a38e000e468e41f303b01564b53857d7
격투가(여),眞 넨마스터,prey,초절정꽃미녀,59732,b12611f02e6463faac71ac37dd707ecd
격투가(여),眞 넨마스터,casillas,JohnDoeㆍ,59285,c6e37fcf4d55968cf9b8ce73682fbaf2
격투가(여),眞 넨마스터,cain,★루멘★,59494,d3a113756cd90a457486eb27f761531f
격투가(여),眞 넨마스터,siroco,시뷰얀,59494,b1faed65536e312447dd8afce14b3d6e
격투가(여),眞 넨마스터,anton,넨동글,58669,b6d6e98c3790a676ed0853a50ae9a6a4
격투가(여),眞 넨마스터,cain,보봉구스,59813,29a8e45b10e4ece2654d87b1dbb664cd
