basejob,subjob,server,char_name,char_fame,character_ids
귀검사(여),眞 다크템플러,prey,전문,60225,56bbafbcb282da508c18db47fcec6812
귀검사(여),眞 다크템플러,cain,진경쿤,60557,add9d1b6c938c4a267444e1711cb89c5
귀검사(여),眞 다크템플러,bakal,Sito,59520,233d92c94b0e0da69605077dfc41fcd7
귀검사(여),眞 다크템플러,bakal,백솜,60025,dcae5103d184eb04d6f3b08e83534fc1
귀검사(여),眞 다크템플러,cain,신사동암제,60237,61edb76aeeab5926b024a313a1393579
귀검사(여),眞 다크템플러,cain,울트라블랑슈,60067,f83aa8ce540f8c5416e1a311b5a159a7
귀검사(여),眞 다크템플러,casillas,암취,60448,fb9b4b618a6628a36c16044f6dfcd526
귀검사(여),眞 다크템플러,casillas,턍템,60943,0c340ad2f7bf21a72b755528d08b5d02
귀검사(여),眞 다크템플러,diregie,하루나리이,59599,2228529cc8617c655ccfd13167c7eaa0
귀검사(여),眞 다크템플러,diregie,두사랑,60872,4fdb24cb09083db0b2b003d55067decb
귀검사(여),眞 다크템플러,prey,류소울,59766,3af09c3c25939bf9ff5b63c7a81deb47
귀검사(여),眞 다크템플러,cain,슬픈별빛,61095,1771477b0f084781824cfb4608772bed
귀검사(여),眞 다크템플러,cain,꼬마암린이,59256,facb57237d639a5faf45e32981caedcf
귀검사(여),眞 다크템플러,diregie,제넷,59480,7ecc67b0d4d0629b3c511ce9d204bd2a
귀검사(여),眞 다크템플러,siroco,검보라,60048,b4a2c670f22bd5b796b041b12bd56770
귀검사(여),眞 다크템플러,casillas,서준현,59450,a24c23885da1b78dc98294c3c90df050
귀검사(여),眞 다크템플러,prey,죤나이쁘니,60185,6f7bf90a4fd00d1e4b417d7925cd73f3
귀검사(여),眞 다크템플러,diregie,SWORD홀릭,59843,1f68cc7df35c9ce0f3e15d420cc87927
귀검사(여),眞 다크템플러,diregie,다은이♡,59976,8eb5095cbac5cf5f6ee9b186efcf9c48
귀검사(여),眞 다크템플러,diregie,기기나,59847,2ed8a8571f2009ebbbbc806f9a994f2a
귀검사(여),眞 다크템플러,bakal,시로냥,58765,bf7fd84da2c309f7da4bad7094617a0b
귀검사(여),眞 다크템플러,prey,압재,59216,3242730e399c60847cebc6f317d7f7cb
귀검사(여),眞 다크템플러,hilder,승과,59856,d94d8e5916cb0a0fdd0accfc67c6cafb
귀검사(여),眞 다크템플러,cain,실망좌,60495,f95f1d4edabdb4e8c61f60fe1e409bdc
귀검사(여),眞 다크템플러,prey,아인시야,59298,25be9e7a96aea0abbc2d1acf9cce671f
