basejob,subjob,server,char_name,char_fame,character_ids
마창사,眞 듀얼리스트,cain,듀평,60051,b69210bd8f5a7ac971a8e6f79bbad4c0
마창사,眞 듀얼리스트,cain,균형잡기,61081,cbc5248ef42af6448590b2ec4420f3a1
마창사,眞 듀얼리스트,prey,이스닝,58983,9d49870bd73ad20f1533c5826f72c7cc
마창사,眞 듀얼리스트,prey,창.진.듀.란,58934,261912ce801ed4039eb602c63778de6c
마창사,眞 듀얼리스트,cain,ㅇㅊ,60566,a6d211822d206cd2707e2f7a70215e30
마창사,眞 듀얼리스트,cain,무딘창끝,60375,1a49ffe6e9d90c9f730bac26cb9baec4
마창사,眞 듀얼리스트,cain,말티츄,58700,2a381c396c05475c925da0fd5e4a1f56
마창사,眞 듀얼리스트,cain,내려찍기아님,58517,b93cfac7a70461c12fea559ca6f4b6b8
마창사,眞 듀얼리스트,prey,듀라리,59433,c26b5be9933e97c790e7b658a3e3ebf7
마창사,眞 듀얼리스트,cain,리하르스,59149,dc7505be3b2fd9566c0dccdb7c737324
마창사,眞 듀얼리스트,cain,죽창사남현우,59239,f57dd7f3a42fdc3341ec20b180d2aef2
마창사,眞 듀얼리스트,cain,악셀시리오스,59142,b722fffb261cf33facb384f090316ec2
마창사,眞 듀얼리스트,hilder,마보로시,59215,c2aff5b7c9d37ca3e4a3e90da93a9c3c
마창사,眞 듀얼리스트,cain,cn_ju,58987,46997918a65149e7e3fcf6006fce980c
마창사,眞 듀얼리스트,diregie,조선구라제,58719,4fe1989ec82215db320f8c838dd65dda
마창사,眞 듀얼리스트,hilder,듀란이,59596,2e2790e6b3553af99909ad28d23674d7
마창사,眞 듀얼리스트,hilder,인생조짐당함,59421,0d12b0d2b838e7932e48ebe85bf3dd86
마창사,眞 듀얼리스트,hilder,냉연,58317,15195d1a9f770bd32c4742fbee894f40
마창사,眞 듀얼리스트,casillas,비난,59138,c2d5139071122ee5ee9c3867414c6dca
마창사,眞 듀얼리스트,cain,-무형-,58383,ea9e50c4a059271e65b1ab0f03598156
마창사,眞 듀얼리스트,cain,장래희망창사,59097,5864aeb0c9969ca9ec5fcea4ce437b04
마창사,眞 듀얼리스트,anton,펀토,58251,dbccaead6a8c7761bb04d2857d728e62
마창사,眞 듀얼리스트,cain,에이듀,58302,a825c78acb679b7ecc53b20923257f25
마창사,眞 듀얼리스트,casillas,찌르겠습니다,58733,c1c4c1c8dc06120688cdfccc2438b9f5
마창사,眞 듀얼리스트,cain,메사이어¸,59428,2488363bd0d61ba70d0013d9d5f2930b
마창사,眞 듀얼리스트,cain,탁이네듀란달,58980,9af3ca663552129ffab41f25f03307b6
마창사,眞 듀얼리스트,cain,미스트플레어,58805,25c17e6a539a58e901d7a2de0c101dfc
마창사,眞 듀얼리스트,cain,형님형님ㅇㅑ,58158,a58677c0b0848d87b2799dd51f182620
