basejob,subjob,server,char_name,char_fame,character_ids
마법사(남),眞 디멘션워커,siroco,봉래인형,60056,c56223a7d38dc6d4d1a0e26cf012c569
마법사(남),眞 디멘션워커,hilder,냥냥대마,59915,199142a535b883c735b9e194ede21c30
마법사(남),眞 디멘션워커,casillas,하누마마코토,58742,2e6f62b566f3783ef1905369080bed35
마법사(남),眞 디멘션워커,prey,일해요니알리,59713,38b4fed6271eb8cf35760f8eadf75603
마법사(남),眞 디멘션워커,bakal,아지달,59794,a84cccabfa73bf01d804ff1d5a9df35a
마법사(남),眞 디멘션워커,casillas,실번,59604,2cd8bc3bbc23acffe99ee6c04acccf5c
마법사(남),眞 디멘션워커,cain,휘레귤러,59235,0f68affa41160a83dc6dafd9fab476d8
마법사(남),眞 디멘션워커,cain,姬森ル一ナ,58805,54c1f7bedd0a824d26176be06c89fe23
마법사(남),眞 디멘션워커,diregie,이원만,59571,2f6d895b63b01703f0c0a5bae23d9d17
마법사(남),眞 디멘션워커,cain,쉐이딩,59401,2f84940885041a4599dde87c91377047
마법사(남),眞 디멘션워커,hilder,니알리집사,59480,eeeeb36c6c5db452c59b04c5e7232cff
마법사(남),眞 디멘션워커,bakal,창해,58807,3d4472528987598a19968dca6f286ec9
마법사(남),眞 디멘션워커,cain,올센,59011,bd0eb202349c69ec64dbbcbc141dcd8e
마법사(남),眞 디멘션워커,cain,빵하니,59464,123cef749d920d8e93bec8c765b833ff
마법사(남),眞 디멘션워커,cain,피지컬안좋음,59424,89f76dea9ddde0f06b4dbbe672fcc6be
마법사(남),眞 디멘션워커,hilder,선생고범준,60277,6db41d974fca60cbb4a25ef29130e610
마법사(남),眞 디멘션워커,cain,`헥토르`,58487,90d9e1b6259f4143a79a739d55732754
마법사(남),眞 디멘션워커,prey,메기도,58465,ec8a21fe80700fb69399686ae6cdc843
마법사(남),眞 디멘션워커,diregie,차원학,58655,9eaa819b953c61044c95b9aeca494fba
마법사(남),眞 디멘션워커,casillas,AbyssSeeker,59085,64c45f40b86290f58e7a66317d5648cf
마법사(남),眞 디멘션워커,cain,라빈슈리즈,60814,9aad5597347ddef1b908fb32e3a4f36e
마법사(남),眞 디멘션워커,cain,Lawinia,58909,81dc7a79e36f7431a78689769e837526
마법사(남),眞 디멘션워커,casillas,산요,58355,9b646a2499e9c2c4af52337b0500fe77
마법사(남),眞 디멘션워커,cain,디몽션,58595,0031950e7bc34471dd4d7830b812a959
마법사(남),眞 디멘션워커,cain,븜미애,58521,e80a264e8e8c906193aa93f976ce2c28
마법사(남),眞 디멘션워커,hilder,디멘연습생,57774,3c874d3c6c087cc58c33dc14c15e2ae6
마법사(남),眞 디멘션워커,cain,갈다인표크툰,60534,c5a28c0642181504678b1c59a08e6357
마법사(남),眞 디멘션워커,casillas,던짱,58730,f8553b0e563fcf0d8a1dac489eaf5ffd
마법사(남),眞 디멘션워커,anton,현자,58143,b4fa72df8200e0d365d3a230007a4ef5
마법사(남),眞 디멘션워커,casillas,들박형니알리,59215,1264f5da17e8b3ae4888b165468c1c4c
마법사(남),眞 디멘션워커,prey,감자어디가?,57852,626c421709e4e6d737776193e7321716
마법사(남),眞 디멘션워커,cain,주벤에샤마리,60144,e79701d87abd7a94a4b777eda0fc82be
마법사(남),眞 디멘션워커,anton,힐작,58376,c978fff0565b1cbe60a0f16c07ab7209
마법사(남),眞 디멘션워커,cain,정신분석학자,58369,a8e8009d1fe455f7a50375e94a5dd568
마법사(남),眞 디멘션워커,prey,구원령,58687,cdb73675430ad219caf5dac26131c3e1
마법사(남),眞 디멘션워커,bakal,Hwaseo_디멘,60067,48ff6b2555baf7ac1e34617d2ebdc7ad
마법사(남),眞 디멘션워커,cain,일리아벤,57849,4528edb274fe2a4948dd77ecad448fe5
마법사(남),眞 디멘션워커,cain,옥백,59225,e33f2b5322d8c4b1aba3ec13f2551bf3
마법사(남),眞 디멘션워커,diregie,알하자드,58741,954c800e6db8a2bb91826707c56c8b9c
마법사(남),眞 디멘션워커,bakal,메스가키디멩,58880,b1a60edd0fae6f795d30754f5d7cd8e6
마법사(남),眞 디멘션워커,cain,졸려어엉,59962,439467a598a0248f687b85cc28ae950a
마법사(남),眞 디멘션워커,diregie,AI.렉스,58351,2c50ca59184f733447d43ab4168cce36
마법사(남),眞 디멘션워커,siroco,얼공,58327,16bb374133981faceb130e07f2ff231c
마법사(남),眞 디멘션워커,cain,무호흡쩔딜,58155,7cd976e77153444f487588bd19327a3a
마법사(남),眞 디멘션워커,prey,카왑,58317,6030de4f9abcde9d7da599be6e1d8ee7
마법사(남),眞 디멘션워커,casillas,프로겐,57787,afa7ed35a8cbc7d864c9dc6483e73617
마법사(남),眞 디멘션워커,cain,삼계탕어센션,58043,198632c77191971a4162b468bb53cac2
마법사(남),眞 디멘션워커,cain,니알리간닷,58383,7f71920c4b454a5c6d29b239fa5fd7ca
마법사(남),眞 디멘션워커,cain,누텔라성애자,58612,3d1f6d159a6b34ed6848a86fd1e63101
마법사(남),眞 디멘션워커,cain,최뇨로,58170,5f4e276f8c720c1fc2bb0c6d8c08026d
