basejob,subjob,server,char_name,char_fame,character_ids
거너(여),眞 런처,cain,위즈샤,60137,0cb7b947cdc7aa473149c3f12fd33421
거너(여),眞 런처,bakal,이지윤_,59229,3132c25f5767863cabb2131d44fb476d
거너(여),眞 런처,bakal,민재서,59560,058d4f0cda76a18aacd280df0eb98253
거너(여),眞 런처,cain,꿈결현상,60133,4993e4bfbf322bac7a44a86258c23d31
거너(여),眞 런처,siroco,향기의반짝임,58771,58b27ccfd3d5e8269d12ce71e9ee6530
거너(여),眞 런처,prey,ssCrispss,60160,4629821db6bcc3dda3a844ea9ba235d7
거너(여),眞 런처,anton,퍼뎀,60566,00c876fb22faa7d99068ec8b8d61980e
거너(여),眞 런처,cain,데드트루퍼,59599,d96df95102f1c254a814088cc403afd7
거너(여),眞 런처,prey,슈타장인런처,59547,0deac98b5c47520dbdbe25c7bdf147d8
거너(여),眞 런처,prey,남런처입니다,60591,2de6d1d20b5b20f6c933a07e7333b5dd
거너(여),眞 런처,cain,(남)런처는끝,59018,eee183cf4ecf75e9e9662f01545a1e15
거너(여),眞 런처,diregie,점심밥에디션,59780,ea9a86f65aeea328d562ca2f6dd3511b
거너(여),眞 런처,siroco,Type,59409,01314701f48293b1380c04290c065397
거너(여),眞 런처,diregie,게임종료,59883,143b7976b7aac09eebcce9de6f1172b9
거너(여),眞 런처,cain,룽렁,60425,c96e55130a911168eb384151cfddc489
거너(여),眞 런처,cain,화끈해진레후,60506,bbb26884f320b806c373c3af61dc20f9
거너(여),眞 런처,cain,비뉴,60163,0ee966ea32af5075f16b8770b853b694
거너(여),眞 런처,hilder,Prill_S,59630,d8bd19012871ea7a0b29416f4fdc119f
거너(여),眞 런처,bakal,한참애,59794,bed878e82747bb0719aaf35422c85722
거너(여),眞 런처,diregie,메스,60495,bfbe5374d0b5c605ed488351951417da
거너(여),眞 런처,bakal,샤방캐넌,58723,b6cf269ca230e5f1614ac27e78286df8
거너(여),眞 런처,casillas,킹돈,60157,bf7a02ec8b8d1fccf66c4503645edcc5
거너(여),眞 런처,bakal,응분,59002,790aa4dec9cf68630762fc6a5377d72a
거너(여),眞 런처,siroco,키요마루,59500,414b2da1973dcb78b21152c5f2e68e9c
거너(여),眞 런처,prey,햏복행염,60157,bf1aa0f28d517fe0f9ef556b7b39f884
거너(여),眞 런처,cain,스톰은개추야,60158,7bca2490e521ece48b0b5253357b6cb1
