basejob,subjob,server,char_name,char_fame,character_ids
거너(남),眞 레인저,siroco,새벅의발라드,60044,795eb11cde39bfddd2290ba0f4f4dd39
거너(남),眞 레인저,cain,총,60084,0154170f00ddd07318359f20a98268a3
거너(남),眞 레인저,cain,총잡이수한,59837,41c5ce052cca900fee53eb7a206f42a3
거너(남),眞 레인저,cain,새벽의발라드,60457,dd7b2d577eb4787f4359e2848dcdbb6a
거너(남),眞 레인저,cain,데페,59249,53398a73c14ab209980b683c0a558394
거너(남),眞 레인저,cain,너무사랑해,58928,9d6115cd61d93beb0ae9d32e43f3f665
거너(남),眞 레인저,hilder,중사케로로,59086,430049f9bf008742e9be306e0c64672e
거너(남),眞 레인저,prey,해피혀누,58948,4c70f2c7469934a43bff67aa48df1db9
거너(남),眞 레인저,prey,무자비,61166,65160f998cf8ced6681b53d9c12fdec5
거너(남),眞 레인저,cain,Ras¹,61237,ff447fc5d90ecf84427f76a6b32a7f1d
거너(남),眞 레인저,prey,로오레?,61115,04eeabfe8a3370ec06d9970de68164d0
거너(남),眞 레인저,cain,칸리볼트,60738,c9a99d55b4fc536930db7aa754178758
거너(남),眞 레인저,cain,꿈젤리,59521,996029abf67d3ed1183b1398a9fc1cb4
거너(남),眞 레인저,cain,병,60911,6c991990e4f4d1af17fc360ca083ac5c
거너(남),眞 레인저,bakal,サナ,59325,5cd6cb5f351e714407755275c957c3e9
거너(남),眞 레인저,hilder,Dukyou,61409,1b75e8e7747081e845bbd77c799bd253
거너(남),眞 레인저,cain,민초맛레이븐,59491,fdf3f5eb2e3daaedcd59bad3cb56057c
거너(남),眞 레인저,prey,솜사탕포도,60872,5e3aa505cf8b7f70353db84dc5ca5b95
거너(남),眞 레인저,bakal,픠닉스,57246,0f366a2933aa565c498fb19a5260f47e
거너(남),眞 레인저,bakal,캐속렌져,59976,565c4263dc9c861592187d894b6f5b68
거너(남),眞 레인저,cain,..루시안,59113,1495509c713a66ad4da417bf1b660e3c
거너(남),眞 레인저,cain,김하뤼,60660,54c8d90b0ee14f65ea24c5b2fe7fe97d
거너(남),眞 레인저,cain,읠광,59804,6be96b1378e4166ff9e68e23a581ecb6
거너(남),眞 레인저,cain,잔불,60852,ede338cd1bae46931eedf82f71bd1999
거너(남),眞 레인저,prey,화류향S,60080,7b04ec79f20d738f26021e7c8fb3e797
거너(남),眞 레인저,cain,문하생,58235,de991512d7a4ea426d4ac9464cb49187
거너(남),眞 레인저,cain,지민....★,60101,0927505bb4d9f322ae5885bbb854476e
거너(남),眞 레인저,casillas,키티나,58898,ff6f580753783bc9046d2566ec363a71
거너(남),眞 레인저,cain,밀라이라,60666,496a81a5a8cf0606f6beba0114758bf0
거너(남),眞 레인저,bakal,불맛화덕구이,59628,235f9fbc9fce45ed2ed1152d6b6b8ca4
거너(남),眞 레인저,prey,설산.,59094,e88cfb8a03270f534869b6624d4ee341
거너(남),眞 레인저,cain,서코리,60720,83ac8157e498ec18492ddaaf7f115d85
거너(남),眞 레인저,hilder,혐렌,59205,68d7514d93b82cf38ea7139ca23a92ef
거너(남),眞 레인저,anton,규약,60495,d0e270eafdedd172e7f6ab19a7190e70
거너(남),眞 레인저,cain,정형규,60872,8a7538f2a54431f3486f3b038df7e58f
거너(남),眞 레인저,cain,Dottovu,60000,86a0695618323d35e22186d1a79cf7e5
거너(남),眞 레인저,bakal,까마귀말려줘,59269,70dc43cc01294dd407efea88c29a48c6
거너(남),眞 레인저,cain,규뀨는까마귀,59514,ef6d08b7428335c6afc263e58e1b5e3a
거너(남),眞 레인저,casillas,아커만,59575,dbdc352462861d9f74a317afff699d04
거너(남),眞 레인저,cain,연사,60592,881c6455d75af243db4ca63fd88a7b2b
거너(남),眞 레인저,prey,은밀한불장난,59489,b928b0001415210bf553da747bfb18f9
거너(남),眞 레인저,cain,Altero,58451,ffb189f620981bbb316587d66a07f691
거너(남),眞 레인저,prey,스윗잼,60073,7912e0c39fffa1474dc2ee10550102a4
거너(남),眞 레인저,bakal,갈락이,58611,eb420099b55cae6f8a69601f6a66e687
거너(남),眞 레인저,prey,NaturalRaven,59434,46aa46746415ddd79f1b289664998e01
거너(남),眞 레인저,siroco,Last_Bullet,59081,375a43829747ae4f15a480f682fe7779
거너(남),眞 레인저,prey,풍백,60552,cd8bb556346b2ed1340c7f45582b52b6
거너(남),眞 레인저,anton,델랍,59223,c680e98eb6897809aaa40f95cfa0bf02
거너(남),眞 레인저,diregie,이일오,60795,e305c49fd8daf46519e4fa90de380efc
거너(남),眞 레인저,cain,공속문어,59375,bca65cde00cc6e56ed65b56715387016
거너(남),眞 레인저,cain,레인저(뉴비),59739,4016d719f99787ed5c4a9a43b058d441
거너(남),眞 레인저,cain,風,59630,c4fe92b7d8d404abec460ceaa5387584
거너(남),眞 레인저,siroco,쿰,60945,3607ff20a78bf0cfceb230174ce44cf4
거너(남),眞 레인저,anton,데스페라도♂,59871,f73edb97756f542e1e77244ce0359681
거너(남),眞 레인저,cain,블그,60040,4f9b61acfaa3c8bf5f0fe19ce007e945
거너(남),眞 레인저,prey,土,60037,fb16a31bd973f32ed54aad857e6efdd9
거너(남),眞 레인저,cain,키범,60749,e5b89179a8079223dfa635c1da5fb2fc
거너(남),眞 레인저,cain,솔뽀시레기,60390,a814c31c640a42062b9abfc030652931
거너(남),眞 레인저,cain,ChicRanger,60495,5f2dfdaccee84ab23835517090aca4a1
거너(남),眞 레인저,prey,엔수님,59123,6b9ced8314732a8b531edbb13572c486
거너(남),眞 레인저,cain,츠키신,59871,7c5bb93d95d1c1b04b16b24f77b7e62a
거너(남),眞 레인저,anton,이게게임임?,59505,f174837840ba9724a46a8f9e5776a2fb
거너(남),眞 레인저,bakal,이묘량,60277,dc00d8e6574fd546f61f80519c144918
거너(남),眞 레인저,cain,할리만,58579,5b4d13bff45c50a07f4340b54ec31251
