basejob,subjob,server,char_name,char_fame,character_ids
마법사(여),眞 마도학자,siroco,막대사탕,59749,2c80d238d293b87fa7435f1f35c88e4d
마법사(여),眞 마도학자,prey,내가마도천재,60550,2458720fa6e1492e5e01391f7b2f16d1
마법사(여),眞 마도학자,prey,덕트,59840,14b14cd24f658f8bea10715610d761e9
마법사(여),眞 마도학자,cain,퍄,59443,02ed70e0163fe4db07ad36862533c8f7
마법사(여),眞 마도학자,cain,전통치킨맛집,58674,8532cdcc8e554c43887d4335932b360b
마법사(여),眞 마도학자,cain,마도언늬,59681,f3f8ca4610ddd5d4a6dea700c94e2f52
마법사(여),眞 마도학자,prey,명품븜,60854,8c39b73a24addb20ce411776a3e06d02
마법사(여),眞 마도학자,anton,바다코코모,58991,4498f9364b4b889d68db9cc56a817f45
마법사(여),眞 마도학자,prey,믹,60323,dc075294784e42fa8255404b1ab06cb8
마법사(여),眞 마도학자,cain,아이엘리시아,61114,8a8b852592bfcdf3e79a00533177090e
마법사(여),眞 마도학자,diregie,먀엔,60100,e026ac4410b91cb30aa9299202de5446
마법사(여),眞 마도학자,cain,네오마도학,58004,188ff652a554d35329ac1a4a5bbcfa17
마법사(여),眞 마도학자,cain,마다람쥐,59223,ffd23cb3a0fa096f28619b413f7c6530
마법사(여),眞 마도학자,casillas,로함,59904,059cc0b6d74f7041777a927f80ae3b8e
마법사(여),眞 마도학자,cain,뽀밀리어,58912,be2ec88c142b5c75ce2175a09b9a4db2
마법사(여),眞 마도학자,cain,YukiMiku,59794,9c5536e02e6810ce7530dec03c37ca3f
마법사(여),眞 마도학자,bakal,네코에몽,60814,7f9137fc9601f2aa92f34c9d72359e08
마법사(여),眞 마도학자,prey,좀비소녀,60740,4f8545b7457a4aeff16d2f3d52e21ac8
마법사(여),眞 마도학자,anton,마도다람쥐,59815,23e1a93c28438f1b630186c6b982fcd5
마법사(여),眞 마도학자,cain,까칠써니,59212,b8432f1706f67c3ec45677bbfbdfd74a
마법사(여),眞 마도학자,cain,아시져?,56828,433d75afdc310e20cd689ad4f2bab11d
마법사(여),眞 마도학자,prey,마인이양,59585,62b38d3b53c4b5d68e759f17e9af8b12
마법사(여),眞 마도학자,cain,인코,60577,ec362ecd3b3d2d9f213b5ea29dc72ab6
마법사(여),眞 마도학자,cain,눈낙엽,58728,18387f0206114d9a82ebeb5d00a51fc4
마법사(여),眞 마도학자,bakal,이키,61097,ffc86a10644507dd5ac75e073b7857a1
마법사(여),眞 마도학자,cain,븜구리븜미쨩,59721,a2af89e9e4871bb5d64d25fcf80bba6c
마법사(여),眞 마도학자,bakal,안트미,59579,edfae0af0316ce846063ef7394ba363b
마법사(여),眞 마도학자,casillas,친친_마도♡,59255,f97c35f3c0c72cf5d9e726a362b0698b
마법사(여),眞 마도학자,bakal,카페˙,59413,52d9483e55f726bf93b225e54e06c5c8
마법사(여),眞 마도학자,anton,레야미,58773,b642525c65e60188c229547f128d6b63
마법사(여),眞 마도학자,cain,사?탕,59061,dafe988a3c7e1fa712b80acc7c4ec682
마법사(여),眞 마도학자,casillas,샤이마도,58823,f92c0a0c2f735f3bbcbaf7aa1b458206
마법사(여),眞 마도학자,cain,zl존마도vv,58669,3aed6d3fa8372dbfd4e5ad4313815ecc
마법사(여),眞 마도학자,bakal,븜바,59499,d75cfd8cb98b386228c7edd5683d54ef
마법사(여),眞 마도학자,cain,"양갱,",60228,d56a21452f5085700bd45dc3a12374a6
마법사(여),眞 마도학자,cain,유사학자,59275,e1804bdc1d5f875d1a1d64800dab4ed3
마법사(여),眞 마도학자,bakal,민호마도,59804,9994b3e9ac91c3fe2031724919b9b1be
마법사(여),眞 마도학자,prey,고모왔다,59195,abd9be4c5326ad53b2842cda710e9a6f
마법사(여),眞 마도학자,diregie,하비니스트,59137,01c30a83e8172ec0a5c624653daf2663
마법사(여),眞 마도학자,siroco,포저,59261,568e93f0a905e4c7294b04ada24c3374
마법사(여),眞 마도학자,prey,지마도,59954,d4a34247a334cdc13d577194da625b5c
마법사(여),眞 마도학자,prey,정신붕괴,58800,07fc2756410300fd23f5a787ef7d9ef1
마법사(여),眞 마도학자,casillas,백곰파,61397,c719bcc35e01220a31233fd512609465
마법사(여),眞 마도학자,anton,먹구름,59812,f0debca6df8253dbcc16603319ae1f4f
마법사(여),眞 마도학자,cain,사만다존스,59186,aaf32a6779b05a1cdc5ce2ccd71202be
마법사(여),眞 마도학자,cain,팬시양,58994,c9fde91bfdc0b66eb11f6d78ddf0bfa5
마법사(여),眞 마도학자,prey,예쁜마도,59045,ed313349693c7118a048d5aa7e86e6bb
마법사(여),眞 마도학자,cain,마도학자마녀,59579,77eb9451f7af70444f8fadaf53eb22ef
마법사(여),眞 마도학자,cain,옹이마도,59585,54878b9f2154525a753602781b0aec98
마법사(여),眞 마도학자,cain,blooooom,60500,54e95be3d9c212f566cf836c6f64c88d
마법사(여),眞 마도학자,cain,과수원지주,59515,9d5c81c20d9e476b2d9627157257443f
마법사(여),眞 마도학자,hilder,천리의주관자,59137,a8ecd917f152e1202124bda707e5e345
마법사(여),眞 마도학자,cain,마도™,59247,ddbd9eeeb1fefa0e666757530f50669e
마법사(여),眞 마도학자,cain,팔라딘스쿼드,60277,994c2374ef0efd63c291b33eca279661
마법사(여),眞 마도학자,cain,붕어빵조아,58648,9c089e652ef3b23482359429a8e8371e
마법사(여),眞 마도학자,cain,이노땅,59180,ac32aac7b62dd8abee26898853a8108d
마법사(여),眞 마도학자,prey,깸,60482,d96e1c1e366027cac3c8556e75b7da20
마법사(여),眞 마도학자,anton,착색,59453,5aebadbb984387ea43cf3feaed9fd22f
마법사(여),眞 마도학자,casillas,크샤샹그릴라,59353,1a3ad35506960e54e3038306a51e242f
마법사(여),眞 마도학자,cain,마도븜협회,58604,8ddbce9e909f6fca54e020f3fc7cf658
마법사(여),眞 마도학자,cain,魔道夏娜,58892,22e43eeef53f3ec452deed4218621e62
마법사(여),眞 마도학자,prey,마도의소각로,58519,056b7055afb4747c7cfb076057b913a9
마법사(여),眞 마도학자,hilder,마도연습생,58675,c0985bdd907ff583d274d901e14eb43a
마법사(여),眞 마도학자,cain,밥똥던마도,59734,93358ce5ce375ca81d5e82a9819d1af8
마법사(여),眞 마도학자,prey,엽장,58512,83251e8e3d0d8d4c34172a5c020b3fe6
마법사(여),眞 마도학자,prey,유혜미.,58529,1a5335868d199d921859e04f42517a99
마법사(여),眞 마도학자,bakal,가루루루,59268,b005f448ab1f55907339f2bd5e281e80
마법사(여),眞 마도학자,cain,이키더븝키,58623,38b73df0a46856ced449cf13004801ff
마법사(여),眞 마도학자,diregie,뉴링스,58087,322a3e77a8cead5833ca0c29737e2846
마법사(여),眞 마도학자,anton,파랑드릴,59264,c4c542f89a83200b683920bbae02a32c
마법사(여),眞 마도학자,cain,마도븜끼,58684,67893c2595dd949155fd3360964d8447
마법사(여),眞 마도학자,diregie,요람지니,59044,071c85516ad6e83568b9e6d13621229a
마법사(여),眞 마도학자,hilder,잔냐,58834,79dd60157a85b2e61e92b99a3f52eca3
마법사(여),眞 마도학자,siroco,롤라코스터,58644,930db00c5645b097bfccda7a26046025
마법사(여),眞 마도학자,cain,잘익었잖아..,58683,3c64010d1f6ba843db776f96db903c22
마법사(여),眞 마도학자,cain,대장코리,59780,a861b27c14f32b1de7850e3e43aa56af
마법사(여),眞 마도학자,bakal,죽인다냥,59709,ace5cf4f51bc636150b024afcb2116d6
마법사(여),眞 마도학자,cain,렙업이필요해,58398,7d742cbbd508272d7e4df09b6c461de8
마법사(여),眞 마도학자,prey,디삼,58548,3a2fd710956526dc5aeb05546c25e047
마법사(여),眞 마도학자,prey,틀딲븜,58567,83c0df6398e35c7dfcce1a730dc5b38d
마법사(여),眞 마도학자,cain,HappyFeet,58431,b682014c83acf53dff702920b6de8bee
마법사(여),眞 마도학자,cain,마됴확좌,58330,fc8e7428b26e31b4caa910d04c6a3f1e
마법사(여),眞 마도학자,cain,호박있음,59426,1abca8dbd8e4c9c4274c976b9a67b903
마법사(여),眞 마도학자,hilder,로카리안,59187,a6e630d4c260106d620c954500f669b3
마법사(여),眞 마도학자,diregie,리에린,58777,8aebbf5e830920e5cd578100f26e81c3
마법사(여),眞 마도학자,diregie,이면경계,59165,b9838dc7613025f112aa627190f8c57f
마법사(여),眞 마도학자,cain,메카맙미,60200,767adc49e589d64c453feaa31375ea05
마법사(여),眞 마도학자,prey,석사장:,58781,7fcc37c0de56aaf483feb0656808a173
마법사(여),眞 마도학자,cain,진근도학자,58165,7bec41e4242b1b7416ed58dae113e42d
마법사(여),眞 마도학자,diregie,뮤-네,59299,4852e0a0e20a5f0c788f82c5c9305ea5
마법사(여),眞 마도학자,bakal,티아.,59197,2716b57d455dd2cbdd17197bd358cfca
마법사(여),眞 마도학자,cain,안즈쨩,59094,7094acb86b3c60ecb9df4e097f515fc1
