basejob,subjob,server,char_name,char_fame,character_ids
마법사(여),眞 배틀메이지,prey,신림이,60191,5526ba25df197dd508a8402a84a0a0fc
마법사(여),眞 배틀메이지,cain,이싱니,60191,160e2c602b7c338dbabd5a8017e187e4
마법사(여),眞 배틀메이지,cain,뿌듯,59875,6b8a4c45f8c321ab880afba739b37b3a
마법사(여),眞 배틀메이지,casillas,룩잘알이애오,60070,9463069b83868d217948b91af3bdca26
마법사(여),眞 배틀메이지,cain,참한솬사,58667,8fd927cae12446009f6b6eb225974998
마법사(여),眞 배틀메이지,cain,유니쩡,59857,f71b1b9bb3b7417ea541e3adad49516e
마법사(여),眞 배틀메이지,cain,아슈커여워,59138,17b70472aef7030d4a5c4b0818f3c028
마법사(여),眞 배틀메이지,anton,Sorce,59970,bf372634c3cbd1523838cbca5caa9d77
마법사(여),眞 배틀메이지,cain,매화유화,60728,b8e4cdb7023db98611d390d19c10b905
마법사(여),眞 배틀메이지,cain,쇄패퀸,60444,10256538d34e9ecd0c74eb905676d4bc
마법사(여),眞 배틀메이지,cain,킁킁고양이,60123,1efd390821c7088aa690701ea309d4d2
마법사(여),眞 배틀메이지,anton,바다코코넛,59118,fede0096679ebf96ecc125baecc59fdb
마법사(여),眞 배틀메이지,cain,밥똥배메,58988,2d3fdc5a394946c09cc90a8a01566278
마법사(여),眞 배틀메이지,cain,천재해커마리,58895,376637d284e4ee6bd5aedd2082f3c4c0
마법사(여),眞 배틀메이지,cain,미미반점,60852,b37151fc5bb8141d664702f430844700
마법사(여),眞 배틀메이지,anton,伊吹萃香,59793,a35f3096a3a4da23a6fd8616362dcb77
마법사(여),眞 배틀메이지,prey,다롱,60171,36d91b6f37e8ecf5cd8136189c13dc27
마법사(여),眞 배틀메이지,cain,AltairEnsis,59154,62792b1b57f34557c685a4e159db3654
마법사(여),眞 배틀메이지,prey,도푸스,59672,c78529ee66d51836713d5a506e54b752
마법사(여),眞 배틀메이지,cain,준싴,60725,72c7c93e09543bfa36a2ee4ebca66598
마법사(여),眞 배틀메이지,bakal,로리,57249,68326e2e29212bfe707e21177895e41d
마법사(여),眞 배틀메이지,prey,네쟈,59180,aa48d526f84badfa37790f2a76e28fb4
마법사(여),眞 배틀메이지,cain,벨몬,59234,f4060c6a7ca72b6499a4be0c5b46e21b
마법사(여),眞 배틀메이지,bakal,하양이좋아~!,59848,7b333b1c77cd30a5af3f7df044637b17
마법사(여),眞 배틀메이지,prey,신미미,60040,c0212c53f8c07ca8ab5ce930a33b079b
마법사(여),眞 배틀메이지,casillas,아슈마오,58879,9dfce224f3699b7ea68a102c9455fd5d
마법사(여),眞 배틀메이지,hilder,벨라트릭스,59780,0bb98ed6a217510b890d80a7e70fb2d0
마법사(여),眞 배틀메이지,cain,화위з,59794,4d4d7a254dca16de96481e66e0f60ce8
마법사(여),眞 배틀메이지,prey,바다뱀,58834,f71658de2eb022c49f31eaeb6a2cfd47
마법사(여),眞 배틀메이지,cain,븜아란,59676,639c95c9f55ff45a78c0101b8dc93e47
마법사(여),眞 배틀메이지,casillas,딸깍ㅡ,59767,238d326498fca45a55694fb3c46ebf61
마법사(여),眞 배틀메이지,bakal,질투심,59508,5cb0e8bf23bb3b5b9ae78eae9ea4252a
마법사(여),眞 배틀메이지,cain,네프로버,59079,592725386f24c5513f738c4909368536
마법사(여),眞 배틀메이지,prey,강원햇살,58994,0e687bfbf5fd8268d5b655261674f507
마법사(여),眞 배틀메이지,hilder,카사와리,59851,224edd1a16386492e9fffcace550484d
마법사(여),眞 배틀메이지,cain,아슈롱,60704,a7c695bc9e9b855402075467dcb193d2
마법사(여),眞 배틀메이지,diregie,마인라미르,59599,e33bf83864430a7e9eaa0e010459d4f7
마법사(여),眞 배틀메이지,bakal,김상훈,58975,b3ebb6b8d0dff16a81992eb09da92588
마법사(여),眞 배틀메이지,cain,3409,60552,77dc867cacd5d2bf87b175886928aa3f
마법사(여),眞 배틀메이지,diregie,레아츄,60400,bddfc3421c933b4b98b5b1ac1048409a
마법사(여),眞 배틀메이지,cain,찹또,59411,6cecada6b643ad5c444136f5611095d3
마법사(여),眞 배틀메이지,prey,청은석,60538,c8fdfb8805d4ade152d33c4825376d1f
마법사(여),眞 배틀메이지,cain,홈런몬,59485,dafe6c022bcc94fc386de8d6d9e48ae5
마법사(여),眞 배틀메이지,casillas,다요나농,58901,492f30cb9a7c58d9186028be933689ca
마법사(여),眞 배틀메이지,casillas,OverStray,60425,1c38770e9fb7688837c08f2939a37866
마법사(여),眞 배틀메이지,cain,배메약해요,59676,5deaf5003cb66cd8367f2f512f9be9b5
마법사(여),眞 배틀메이지,casillas,에레메스,59323,9b1016ef777df50e33d8e1d5338ac1ee
마법사(여),眞 배틀메이지,prey,연읍,59494,6dbdfd2ee621127fbac6fdc400652457
마법사(여),眞 배틀메이지,bakal,민트맛사탕,58647,a488e66a6794c98ec8f43853e609b710
마법사(여),眞 배틀메이지,cain,큐트정현공주,59527,d9fcca4c4c0c4133a2c5591ce15b9bc0
마법사(여),眞 배틀메이지,cain,배메하구싶어,59559,eb938b2b174d96c495157a966ff2023b
마법사(여),眞 배틀메이지,bakal,아쯔이,59869,89538e561dfe910d4166ebaeec1b9527
마법사(여),眞 배틀메이지,cain,님대체뭘보러,58566,7ae26e5d7e41d23f7a1c8ae01848e162
