basejob,subjob,server,char_name,char_fame,character_ids
마창사,眞 뱅가드,siroco,밥똥둔,59478,028466926622790b1961bc49001788a4
마창사,眞 뱅가드,cain,내려찍기잘함,58906,8e0ed9c5af950662afd7a834d058afa3
마창사,眞 뱅가드,bakal,정구지컷,58996,87e5f860082448e540594a5990dc6c7b
마창사,眞 뱅가드,prey,쿨증캐,58259,4744f809e07794698020eec1cc6427d8
마창사,眞 뱅가드,hilder,마시로.,59556,5215761a45aceb5f7a9f9d988cb67102
마창사,眞 뱅가드,hilder,홍진호,60552,f3a8eb39bb3941eb368b63ce33dfa7f2
마창사,眞 뱅가드,cain,BillyKwan,59595,86dbc652e33c7915f3170c26e7610090
마창사,眞 뱅가드,cain,븜가드,59833,85d9a36d7592fecfa7562f39f19ab412
마창사,眞 뱅가드,cain,창둘라,59765,27e672bf3aef093c5ade9328c931ce24
마창사,眞 뱅가드,cain,지금찍는중,59194,7e21853d40563bfe2d49ccff1cdd5fb3
마창사,眞 뱅가드,bakal,꿇코넛,59646,23f5ae0830a317d6ec7f165707e61812
마창사,眞 뱅가드,cain,봉훈,60566,c66986c2ac6f9a66e799d5dd6535245b
마창사,眞 뱅가드,cain,ㅇ뱅가,59561,dfa60f93843bd73951854db9be281b6a
마창사,眞 뱅가드,cain,김한잔,59680,1334b19b6b364ba8bb209035699e23b2
마창사,眞 뱅가드,cain,누군가의뱅뱅,59228,99dfd404f50542077b7a8cd0d9699d61
마창사,眞 뱅가드,cain,과고홰롸,58284,a627f3b4e53e21286d462b1f44734c6a
마창사,眞 뱅가드,prey,ddora3,58741,673c160c2eb6b4a36e4db033ad96fd6e
마창사,眞 뱅가드,cain,미늘마창,59755,4460952be2815e74ef7613ae526a6ddc
마창사,眞 뱅가드,cain,배달의여포,58272,200b81042198fa1e4ff42f37f14c95cd
마창사,眞 뱅가드,diregie,마창천멸,58324,3852a1c1ea913fff85b4f28519315cae
마창사,眞 뱅가드,prey,관의,60357,97137a20c77c92053f7704f0be4b22d9
마창사,眞 뱅가드,hilder,베르제브몬,59446,409ffac569ed622ac52bfdab9278e769
마창사,眞 뱅가드,cain,후주우,60019,f0639e27f70003cfaecaeda5166a51d0
마창사,眞 뱅가드,diregie,크리드,60509,b5e198a933688f1f4b622a72d2d9ebf1
마창사,眞 뱅가드,cain,랑데르토,60252,c016fac08a603a46ddcb8e06c8dc69c7
마창사,眞 뱅가드,anton,머나무죽창,58802,a8d7c6d05d19501f7f2b6f8d8c1ac4a0
마창사,眞 뱅가드,siroco,진황제,58347,175d3f8aadbec18c324109f7d43df7ef
마창사,眞 뱅가드,cain,빽창사,59285,6ad8a61dd4680b66556c52f33eceec66
마창사,眞 뱅가드,prey,시선후방,58848,8b2c7e2b06486c816a638d39f9c05a33
마창사,眞 뱅가드,casillas,피요엘,60168,9e441f4227402f28f46c83e666f3db3d
마창사,眞 뱅가드,cain,산스케,58508,0002341af7a8d62e490b661b28b73098
마창사,眞 뱅가드,hilder,READY!!,58737,b9291117726db67d8936c058d792864c
마창사,眞 뱅가드,siroco,Zzob,59533,dbd488229840971cc7b952b513e88794
마창사,眞 뱅가드,prey,솔하늬,58337,5fef91d219d2334963c15dda40468a35
마창사,眞 뱅가드,diregie,나무가드,60967,7b17c76b2844538e06fdc06fec2b8e07
마창사,眞 뱅가드,diregie,LesPaul,58565,eada3e2be2441930696460234063b1d3
