basejob,subjob,server,char_name,char_fame,character_ids
귀검사(남),眞 버서커,cain,Gordon,60299,2cb34e8a26447039e446e96ddb111690
귀검사(남),眞 버서커,siroco,출혈.,59229,34ab26b29c5a2fd7e6008bec3acbabf3
귀검사(남),眞 버서커,prey,피가왜모잘라,60240,d11e561c30ba86013ad00fdeef494499
귀검사(남),眞 버서커,prey,Gawain`,59883,51c0822fc5c82479512d5205ce512828
귀검사(남),眞 버서커,prey,남부의별.,59242,0fb42660ce28f814e885878d90574574
귀검사(남),眞 버서커,cain,절규,59730,3613d07206b30d11ab97bd332469dbdb
귀검사(남),眞 버서커,diregie,칼자이츠,59938,4835205d781012b4b015d70f0b899204
귀검사(남),眞 버서커,casillas,귀안의펠,58801,54b7f61ab6d40dafc3b71ff541ce70ba
귀검사(남),眞 버서커,diregie,버샤크,60576,4f4997c996c175fe29f6bb2c2a581b0a
귀검사(남),眞 버서커,casillas,연동,61251,957f6c17f50e25e201121f3bb42f317e
귀검사(남),眞 버서커,hilder,혈귀극도,60295,34c9b0720b5193f9080b664bcecc29b7
귀검사(남),眞 버서커,prey,탱이,60814,a8a9d725121197b1845efd38c1721c34
귀검사(남),眞 버서커,bakal,강일버섴,59885,d9d02aa3b6efbd2b24438f6037e802e5
귀검사(남),眞 버서커,anton,AnTonKing,60814,cb96c899b5fa8f1c30bb682b6a05665c
귀검사(남),眞 버서커,cain,任怡旭,61142,38d46a77269f77e3ecbed676a69c443d
귀검사(남),眞 버서커,cain,꿀주먹버서커,60814,dcc6aff02e11b8e0c5f6f24cba5d3cb5
귀검사(남),眞 버서커,cain,버섴남작,59185,78d473a3b2e069b47b9a4e06c118c8fc
귀검사(남),眞 버서커,prey,불건전한#1,60067,5063f27f56829eae57d1b3c00994e86a
귀검사(남),眞 버서커,cain,물딜고뎀캐,58186,3063641e62c584a0149d3bd13f389656
귀검사(남),眞 버서커,bakal,G】─Blood,59615,2953e750da75a4eb94d11c4c0f1c174d
귀검사(남),眞 버서커,hilder,정도.,59571,3ed759be0d4709cd8f770f5b7d5ee095
귀검사(남),眞 버서커,hilder,도날드덕,59599,88dab14fec35a7e19863b986dceae07a
귀검사(남),眞 버서커,cain,무기든버섴,60814,78dac270228cebd7d37850f3b8106280
귀검사(남),眞 버서커,cain,완절,60651,bb9e00f7314d0178d493cf7cd911e7a8
귀검사(남),眞 버서커,diregie,소름,60937,3e79738261b8b306a5b5b0f20f479afb
귀검사(남),眞 버서커,cain,풉,60528,4683869d403d00adcf7f4cabc760f972
귀검사(남),眞 버서커,bakal,♤Hellbenter,59959,4127672344eb39b4b4e7d1b4cd979320
귀검사(남),眞 버서커,cain,眞ㆍ버서커,60617,61dff0d0b96abd2e580ec4a01f25f008
귀검사(남),眞 버서커,cain,놈오브나이트,60611,a8fb682b3b5b6d87842f3245448caed3
귀검사(남),眞 버서커,anton,통풍왕,60594,2f40b9146fedf41cad77d8f4025d6d88
귀검사(남),眞 버서커,prey,어,59590,b49c54fcfd6f03d6f6ba18b0e373305d
귀검사(남),眞 버서커,hilder,現,60020,59d241760707464c746a8a1ab3def80a
귀검사(남),眞 버서커,siroco,육도마다라,59721,49fc88e55341479965b435bd1500b73d
귀검사(남),眞 버서커,cain,샙잣밥,58937,167489c6e8ddc29d2f0e02aa68942c12
귀검사(남),眞 버서커,cain,인천광역쒸,60295,b3a69eddecc8f3347938969d3c76dc67
귀검사(남),眞 버서커,diregie,탈랄라귀검,59794,ffd0bfa93e7f2b665e2052386eba6fe0
귀검사(남),眞 버서커,cain,카심의대검,60577,c8aa2d2453fc5dbeca7495771cda4bc7
귀검사(남),眞 버서커,hilder,GabrielSode,59767,01e7d43669acaad936ea94d8ff8c9530
귀검사(남),眞 버서커,cain,사탑헬벤,59815,68a0934ff8d4287d3caa1b1e4d90cbfc
귀검사(남),眞 버서커,prey,프라디지,60524,3ba38c77f2868f34d910e362d0f4cae1
귀검사(남),眞 버서커,siroco,똘똘!,60228,77e4c3de5313a936a2633a6cea4f389a
귀검사(남),眞 버서커,bakal,심심한버복,59037,6a3c4dda2a772321c3c15a2995437de1
귀검사(남),眞 버서커,prey,고요속의헬벤,59730,9daf0d626d81420ad8e3b255b134148b
귀검사(남),眞 버서커,prey,혈태공,60298,df8049a9a9f014720d2320efa170a93a
귀검사(남),眞 버서커,hilder,불짬뽕꽃게랑,60194,bda6565f8a591130af9027f39511d8ce
귀검사(남),眞 버서커,prey,늑대별너울,59044,e27337d31edd765cffa12811f7587828
귀검사(남),眞 버서커,prey,TTS리븐,59494,23bec588717e485a0f67daecb8d36b01
귀검사(남),眞 버서커,cain,버서Ker.,59043,565aa2a6126c546d24e826966525e611
귀검사(남),眞 버서커,cain,그만이블,59930,a583dda7ace5d16f53975570e0be339a
귀검사(남),眞 버서커,cain,眞:Evil,60768,b2fd61e211d802c889231c2d1cccb4c9
귀검사(남),眞 버서커,prey,헌혈할랭,60468,228b2a3fd4755ea6820f3802d15f8335
귀검사(남),眞 버서커,cain,자두맛자두™,60768,c119ac052cc57e092f5e994373dada59
귀검사(남),眞 버서커,casillas,버서커강해요,59409,2f574fed4d7aa860044f4dc41063a9a4
귀검사(남),眞 버서커,cain,빵뿡뽕빵,58529,23938ea0a09987ecbc9ae8742f07e575
귀검사(남),眞 버서커,anton,@}ㅡ,59480,a9e5e493f93a6684a24191c170cff28f
귀검사(남),眞 버서커,cain,잡채야,60576,7dd2b957b42a7d32ba1bc08e339587c0
귀검사(남),眞 버서커,prey,아이버섴,60449,7a50cf76843e0fd38f00003b1b1d26a2
귀검사(남),眞 버서커,diregie,피혐,58685,b9acc3605c974ad47d6d1a67905eb4be
