basejob,subjob,server,char_name,char_fame,character_ids
귀검사(여),眞 베가본드,diregie,유아이유,59891,3988c67b74937e5538cb741f791357bd
귀검사(여),眞 베가본드,prey,어흥또리,60683,3586bc2d7e9dfc6f595974e71cb4d64a
귀검사(여),眞 베가본드,cain,선앵,59905,845d8dc3f9d862fcf260d32ca7fa5eac
귀검사(여),眞 베가본드,cain,븜성민의검,58725,0093b6b166ec9bd1343b8056dfb549ed
귀검사(여),眞 베가본드,cain,무검현제,59362,3c1354776fc9bc725c0139c7e7e97136
귀검사(여),眞 베가본드,cain,랑옐,59997,324afc4c3015783e525b6f5768b4b796
귀검사(여),眞 베가본드,cain,장서푸,58238,34aa45d7affa7d700c9235b2b180d087
귀검사(여),眞 베가본드,cain,백나람♀,59135,c7781825f7845c9349869fdd59814b91
귀검사(여),眞 베가본드,prey,운젠,60362,52d859a4f647f252798a7c8f63c9d3b6
귀검사(여),眞 베가본드,cain,든,61163,69cb0c0ad956e9077c18be7401ff5b07
귀검사(여),眞 베가본드,cain,오유민,60866,a4fe337ca3f0c962985cb2ee362b2f97
귀검사(여),眞 베가본드,prey,파계승,59368,e5e241824edb8503baabf6ebe92f0d66
귀검사(여),眞 베가본드,hilder,분홍나비,59723,3ba2d11ebf783d8b3ce768e403c69bfc
귀검사(여),眞 베가본드,casillas,금강,60852,34db56e76fb6b9141dd54821fc6ddbec
귀검사(여),眞 베가본드,prey,상향해줘라,58947,7da1a2917995e44ce63045886d38f963
귀검사(여),眞 베가본드,cain,뚤딸검제,60795,dcd23c26b3dab96a9a389707146702e1
귀검사(여),眞 베가본드,prey,트샤,60795,4d63fceb03cdbc1eaff801590fbe9cdf
귀검사(여),眞 베가본드,cain,친절해♥,60852,ad7f1802506e5a7eefd29536a69c9ffa
귀검사(여),眞 베가본드,diregie,감자ㅇㅅㅇ,59861,11743f76104f24e5094a37815a5d7f47
귀검사(여),眞 베가본드,bakal,불꽃조각,60626,be1a726cca7ac3afd74d2d773e485adc
귀검사(여),眞 베가본드,cain,그것이검제,59050,8ee576b58de3c46365517da4d7077b0b
귀검사(여),眞 베가본드,prey,Suk1,60005,42bd1553a95110e021d33432b5a5c5f0
