basejob,subjob,server,char_name,char_fame,character_ids
귀검사(여),眞 블레이드,casillas,_제라툴_,60031,f011b66f351d8ae2bd6c3540164ac1d5
귀검사(여),眞 블레이드,bakal,순수,60136,d25051f7116373da1cead1b5da566079
귀검사(여),眞 블레이드,hilder,LV포스,60436,f91b882b811214973267517dbdf5eefa
귀검사(여),眞 블레이드,casillas,Siamez,60043,ac249e1e20f2c62acff851556c3353ff
귀검사(여),眞 블레이드,cain,블레솜,60494,bae1e5a00013b0b87e66dd3f0305e961
귀검사(여),眞 블레이드,cain,뻄찬,59605,8e5d21870a2d7a43fe275093169c420f
귀검사(여),眞 블레이드,cain,페르블레,58548,c04ce0e8a1ae37e8eb42d1ba6a09aa8c
귀검사(여),眞 블레이드,siroco,달,59744,cb04ffb90033dfc4eb22e4ed4c7f0996
귀검사(여),眞 블레이드,cain,눈에가득찬달,59669,cf4969d3fee522e143b43d48c7de4b6c
귀검사(여),眞 블레이드,cain,공방블레,60237,386a8bb4fd08020aba5d2b1503d04ffc
귀검사(여),眞 블레이드,cain,김네른,58705,4c6bc56b9ca4e6f0ff0e84912a449610
귀검사(여),眞 블레이드,prey,Chocodiget,59666,5edaf26b8c5df521fe5b231b3811be53
귀검사(여),眞 블레이드,bakal,(냐루코),59206,78c6088a553c33ae963931d9e9a73ca7
귀검사(여),眞 블레이드,casillas,검선소녀,58785,dc49eb60a3d559cbff45eecf6a0f95d0
귀검사(여),眞 블레이드,siroco,음유걸인,59356,1bbf52db72f0fdaea37c9433b0de3fcd
귀검사(여),眞 블레이드,bakal,공포의눈동자,59322,2afb2a767ef073ad8101ed24cbe376fd
귀검사(여),眞 블레이드,casillas,_해피,59719,ae85548b21d2044b31f127cc4c696b78
귀검사(여),眞 블레이드,anton,깊숨2,60781,9c6e0d396efb68c0ebae4f5dd995d488
귀검사(여),眞 블레이드,anton,봄이다봄2,59148,349399ca46779fb9b27836555d867d14
귀검사(여),眞 블레이드,bakal,봄찬,59255,89e6071f9188f4bd9bc7728e43ec1d3b
귀검사(여),眞 블레이드,bakal,대단,58373,fae31912bcaf83aca8d34399b7ac7dbf
귀검사(여),眞 블레이드,cain,사니블레,59889,6f3cd34dfc12d4032230a6d892c608c4
귀검사(여),眞 블레이드,cain,네네당,59764,51901ecd96bc5494ac145003938fe84a
귀검사(여),眞 블레이드,prey,귀진,59052,cea6f3ad5ad0a709bb1369e2b6c5eb0b
귀검사(여),眞 블레이드,bakal,딜레이드,61053,dc87a9d641fc451237c01d94a0571895
귀검사(여),眞 블레이드,cain,찐순이,59396,736ebce62921249f880e3d605a4a0e89
귀검사(여),眞 블레이드,cain,프라아르티,59186,e83ad7ae4fbd4f9c58b0a01a42565674
귀검사(여),眞 블레이드,hilder,별과달사이,60496,a1100953def426e3660f8f6ac5da4924
귀검사(여),眞 블레이드,prey,줄타기고수,58634,f0144c41a7c1c2fea6a2e3df667ddb4d
귀검사(여),眞 블레이드,cain,매혹의도,60658,88bac5be88754e09cb34afdd4f67a6e3
귀검사(여),眞 블레이드,bakal,성검블레이더,60183,1ed2f218af9375c165ab8f88e5bd8f79
귀검사(여),眞 블레이드,bakal,버섯,59571,99ff9f6f6fc9737fb589160810767109
귀검사(여),眞 블레이드,casillas,파윤,59767,a63b356451356c60a3b3561083639d93
귀검사(여),眞 블레이드,cain,고월로,60500,f9cf64549c47b4cd09ae1c2480021e89
귀검사(여),眞 블레이드,cain,율울도,59857,1847ef15abcd3092f9bce6b1ac9dfd80
귀검사(여),眞 블레이드,prey,Alfodr,59584,bf2637c5c5e36c9af82bfa215dddb8b4
귀검사(여),眞 블레이드,cain,성자의땅,59494,e0f0658ce35b31e2272a27e561f7c79a
귀검사(여),眞 블레이드,cain,종신주딱,59872,c617ba1730ebd63c95842ca529a28bde
귀검사(여),眞 블레이드,anton,상다미,60067,88e6df761e482cc8d1cd7f43ec628275
귀검사(여),眞 블레이드,cain,꿈에서꾼꿈,60283,1c299d9c29c6b809dae4c18e59ff9dba
귀검사(여),眞 블레이드,siroco,쿠쿠블레,60013,817986016a63f3bf6f4bc35a024ce3b3
귀검사(여),眞 블레이드,cain,[패밍],60814,35c5497b19ad71868d0a68dc21c2bc90
귀검사(여),眞 블레이드,prey,공발업된질럿,57268,89d86b24cede7a251e559146307a85c9
귀검사(여),眞 블레이드,cain,엔초,59547,5cfdce10cfad88e443cfd4843e042035
귀검사(여),眞 블레이드,cain,스플릿블레,59437,c6f884d153798e66ae424d688755482b
귀검사(여),眞 블레이드,casillas,도도녀S라인.,58615,48bc7837e0caa8d311e19f09a928a988
귀검사(여),眞 블레이드,cain,오레그랏세,59452,0d5e68b10c76da393592f99b7e80d2ab
귀검사(여),眞 블레이드,prey,보복,60059,3e10e97fe74074016973d86d493ad09f
귀검사(여),眞 블레이드,prey,이세계검사,59434,587e89cb9267583ed50f1347c72bd681
귀검사(여),眞 블레이드,diregie,지옥손날치기,58940,7868d94e58ee0b03641640d5c9d67e75
귀검사(여),眞 블레이드,cain,[^▽^],58540,eef67c4f0015aab54c6207a208781725
귀검사(여),眞 블레이드,cain,벨레니,58730,ba1085cd5c651fd0f33f9ef346451764
귀검사(여),眞 블레이드,cain,챠솜,59257,b746639e1c7b9349558b57088d84d1c7
귀검사(여),眞 블레이드,diregie,소월여우,60164,b4386963acc65d3dc30c2c273327e08d
귀검사(여),眞 블레이드,cain,anjfrkdyd95,58370,3234fd52b9edd8289c3ba51bc1aed739
귀검사(여),眞 블레이드,hilder,도싸개,60125,ab97b6869a48342e50d95739cb7149a8
귀검사(여),眞 블레이드,cain,포포블레,58550,29ecd6234da4090008ad13d0858bca77
귀검사(여),眞 블레이드,cain,람랑♥,58993,0040adc68f3984a1078da6c8a9f961a7
귀검사(여),眞 블레이드,prey,(주)15증벌레,60510,db19dbdbbd8916266df391ea8a48b57e
귀검사(여),眞 블레이드,prey,우울소녀,58796,4f4f34687e8a2aad8074d2ed54891647
귀검사(여),眞 블레이드,cain,래곤블레,58148,fab0b44e1c89b852832fe7b033e13b90
귀검사(여),眞 블레이드,cain,살례,59402,5828cdca6d1fa5496a55c484d4a98b2d
귀검사(여),眞 블레이드,cain,벽돌모자,58604,c89e5a33c77d1f803222c760972b810d
귀검사(여),眞 블레이드,bakal,Blovey,58294,b9dcb12562f002f52f33e7f646ec2fb9
귀검사(여),眞 블레이드,casillas,우도희,58608,4a8c016a34298f7a038b05c21728e133
귀검사(여),眞 블레이드,diregie,복슬,58908,937d47cfb8b1ad856ca6fa9a6e30cef8
귀검사(여),眞 블레이드,cain,아니요옵,58750,e755e388ff4beee9bedc5aba18bc365e
귀검사(여),眞 블레이드,hilder,쿠조이,59194,caa3c90ca33fffe1e83de11dd09384ef
귀검사(여),眞 블레이드,anton,고라니e,58823,dcf572ae874f1b6276cef652ad5385a5
귀검사(여),眞 블레이드,cain,나락의날,58192,559a6c5539368becc238fde3a2b5d3b8
귀검사(여),眞 블레이드,siroco,셐시한금붕이,59885,04ff699532c7c32ae56244aeb56c5bbc
귀검사(여),眞 블레이드,cain,개복치블레,58503,3e3300b8920dabeec74d7fbc77a55260
귀검사(여),眞 블레이드,cain,납도노력,58726,1ad8b8022a6013b512edb81a3c4504b8
귀검사(여),眞 블레이드,cain,세렌,60577,7f37547320261cfe2bc7cc0c790837df
귀검사(여),眞 블레이드,cain,시노부ε,58926,2a5c256bf47de4308bd454f855ef7224
