basejob,subjob,server,char_name,char_fame,character_ids
마법사(남),眞 빙결사,bakal,하울이;,59850,c2e09c4861fbe6fa2999ffaaa8cc1cf8
마법사(남),眞 빙결사,bakal,빙결사,59558,ff18b2966935b9eb630445e17446ccac
마법사(남),眞 빙결사,siroco,도짱빙화,59625,02327be9a8a996039291a687d09342fa
마법사(남),眞 빙결사,diregie,이터널,61166,ef62dc4f6200dd5117e75ba70ea54126
마법사(남),眞 빙결사,cain,공명,60795,b684fdfcab8a358527d8a0e264563c46
마법사(남),眞 빙결사,casillas,*JackFrost*,60651,bb1ed2afd1ee1b7478e2f1652246fdef
마법사(남),眞 빙결사,prey,빙슬아치,60572,fa44f0e2a6dfefe7824563029aa7a0cc
마법사(남),眞 빙결사,prey,데코야키,59268,0aecabf7650cd614df6f8dd8d4b5bcba
마법사(남),眞 빙결사,bakal,미소녀,60463,dca709ccdf6b590426eff32fd8b007af
마법사(남),眞 빙결사,cain,위트,60591,747aec5bcb49e70a7322f4f0251e40d3
마법사(남),眞 빙결사,cain,우주코요테,60491,e8e35426d528f95ac888607ddf4b7991
마법사(남),眞 빙결사,bakal,氷の刃,60608,96512930d286af959b57b306629bf65b
마법사(남),眞 빙결사,casillas,뚜포니아,59984,51d1238c8a6bd8319374dd7852b3a09f
마법사(남),眞 빙결사,prey,냉동삭힌청어,59073,41e090dbee0834416cc142321e7cb304
마법사(남),眞 빙결사,diregie,무학,59585,7dff55378c64f9a585273664074f078f
마법사(남),眞 빙결사,anton,氷,60749,6c29f9bd568168055609e94c95ec1e03
마법사(남),眞 빙결사,hilder,빙결팅,59983,d039d596fba0109878a7f8a8ce96b576
마법사(남),眞 빙결사,cain,갈매기줘팸,59753,dae4dea0b1e7323935ba29b813566257
마법사(남),眞 빙결사,cain,장난감얼음,58949,28f72aa151f272ba5a3aaf5eac78e4e1
마법사(남),眞 빙결사,siroco,응토일,59271,f7df2a662eb0d102634e674f4738813f
마법사(남),眞 빙결사,casillas,얼음깨기,59011,f2dffc0eceb9f24c27bb87dc461f691c
마법사(남),眞 빙결사,diregie,땃끼얏호우,58558,69603f920e3c55def4a92bf2ac57aa2a
마법사(남),眞 빙결사,prey,소낙눈,60252,8230b7ff2c7cc43b40e928db00d51863
마법사(남),眞 빙결사,hilder,켈돈,59320,1c34fe71b7465d2b4e132996cbb4adf5
마법사(남),眞 빙결사,cain,[타케]라온,60226,12c162ceb6e28f27080412b84160b009
마법사(남),眞 빙결사,siroco,얼음마루,58690,7bdcdcd99994b8c7b26d81a53168a9e5
마법사(남),眞 빙결사,cain,냉기,58698,2afc1dcecc6246dfc097346a2ffbac6d
마법사(남),眞 빙결사,bakal,페로엘,59720,0d58f5b86eccbf42c284b64fbcc04f75
마법사(남),眞 빙결사,hilder,오블리비언,60221,417c873b28093052c0e28f582b169098
마법사(남),眞 빙결사,prey,돌아온백곰,59306,f26998458489d35299ec84b0ffdd444d
