basejob,subjob,server,char_name,char_fame,character_ids
귀검사(여),眞 소드마스터,bakal,마리나네이네,60038,37dceb9f1d11794848700efd1dfcef36
귀검사(여),眞 소드마스터,diregie,전소미,60567,68d3ff321a5ad541dc03a80d634284b7
귀검사(여),眞 소드마스터,cain,횬욱,60569,e5378a7eee0fd47344ad8ab80c842802
귀검사(여),眞 소드마스터,casillas,몰락,60363,5c054272736b6c6bb7852c1d8678fe85
귀검사(여),眞 소드마스터,prey,김귤귤,59435,df0180c74b3f030af43d4ca9ab66e501
귀검사(여),眞 소드마스터,casillas,『Ak』.악녀,61140,1fe8a65d89fa86d3cf9ad031216c5609
귀검사(여),眞 소드마스터,cain,리싱니,60795,3b98474d9fc542d9ca227496b308862a
귀검사(여),眞 소드마스터,cain,서사별,59480,093095bc1c286b9684d1d96e6319ed68
귀검사(여),眞 소드마스터,cain,RuKaDoncic,60872,58c7b891428717ec042ea7246129fcfd
귀검사(여),眞 소드마스터,cain,매와,60852,e26e006dd795f6786e253e98bea06729
귀검사(여),眞 소드마스터,cain,레전드급SOMA,60367,efc1cc623a991d497cd2c100339e8ee0
귀검사(여),眞 소드마스터,prey,와스프,60809,cc03a995286257d569eb18512d736efb
귀검사(여),眞 소드마스터,bakal,Chahhan,60067,5865973254255783a425fc6b21e85a93
귀검사(여),眞 소드마스터,cain,룹애,58955,6367ee48c43804a5e7b84fa68760cf1e
귀검사(여),眞 소드마스터,prey,쩍꿍이,58908,737818579f90f3b173947699bfef2f87
귀검사(여),眞 소드마스터,cain,군캉스,60572,8f911a1336a074f41fae46f7b98cfed3
귀검사(여),眞 소드마스터,diregie,잊별,60041,ca89373b1e4cd2cc8a657ef09c55a631
귀검사(여),眞 소드마스터,cain,마성소마,60029,6dbc767e0cad19fc1f5c6c2c544c60bd
귀검사(여),眞 소드마스터,diregie,냥이귀,59494,124b68c79adc263fab39d06f0476bb73
귀검사(여),眞 소드마스터,prey,뱅드마스터,59824,d99eb593535720ba3e936097991c5469
