basejob,subjob,server,char_name,char_fame,character_ids
귀검사(남),眞 소울브링어,bakal,순백,60549,b9537b13c96d4b6fa0c2181777614f6e
귀검사(남),眞 소울브링어,bakal,왕좌,60100,185ed0494b32fece0767622b2be51bf5
귀검사(남),眞 소울브링어,prey,necroo,59325,a96ec3e61762a3eb96666f9c5d574dda
귀검사(남),眞 소울브링어,cain,벨,59234,e85024efe41a02fc72770bb9a4db65b8
귀검사(남),眞 소울브링어,cain,노까,59450,abbb8c915fc80f68c229db3fca1e233d
귀검사(남),眞 소울브링어,cain,휘호소울,61095,62cefca7f4240eebd8b5e13043796388
귀검사(남),眞 소울브링어,bakal,칸티온,60809,97a2d87da15bbe5d6b6aff1a3db04a1d
귀검사(남),眞 소울브링어,diregie,惡夢*용아,60478,f3f9a8d930a7ed35466913ea5e7ed359
귀검사(남),眞 소울브링어,bakal,바카노카미,59283,9a65e71f652ececbdd820af645385c83
귀검사(남),眞 소울브링어,siroco,다크로드염,60672,6d23ae08ba2dc386e85dd0b4fe71588c
귀검사(남),眞 소울브링어,diregie,김라사,59585,4b601da05e094ce6833071d822c4dc2f
귀검사(남),眞 소울브링어,cain,마귀,59858,b1f7ba2da3127d20ef0e4519438e3b01
귀검사(남),眞 소울브링어,cain,실카고,60171,67d22af5380488935ea9d7d4c7b24ea4
귀검사(남),眞 소울브링어,hilder,닼로다-*,59571,1f8ea736d5abb86b52123f913129add6
귀검사(남),眞 소울브링어,prey,귀헌,59871,d6d1edfd824bfb2d8b02c01810efb8cc
귀검사(남),眞 소울브링어,diregie,윤선농,57192,e2dc174da807b3d449bd6c1b6af4c5b5
귀검사(남),眞 소울브링어,casillas,우여은,59492,a0fa8e4ba8b88eb26b1a23fa7f25beb4
귀검사(남),眞 소울브링어,prey,능력,59433,891db43718c0713ef5b786dda2c5c702
귀검사(남),眞 소울브링어,casillas,으앙귀신이다,59858,af31c3761890791cd33be0d3e405dc19
귀검사(남),眞 소울브링어,prey,귀신을다루다,59508,7bc41d95f63c067067401696f1cb657e
귀검사(남),眞 소울브링어,casillas,진:참치,60071,1afb8933c71385a9a3d57c5557b05ba1
귀검사(남),眞 소울브링어,anton,Byhume,59342,22fbb99423108c011ff337a64b0251da
귀검사(남),眞 소울브링어,casillas,즈문,59769,38dd85a0ae8a5b1e3d0a08d4ceb9eed2
귀검사(남),眞 소울브링어,cain,몰핀,58927,e6f0c0de1ce423e93e11e377639f4a22
귀검사(남),眞 소울브링어,prey,쏘울띵,59498,0a01bf17321ac985a27abdeaaa797143
귀검사(남),眞 소울브링어,cain,자칭소울1위,59008,97d97e75e46ccd8ec175d4867f75c5a8
귀검사(남),眞 소울브링어,bakal,슙,59137,23dd0c12908e9f5ab234fb5448f56cab
귀검사(남),眞 소울브링어,hilder,싱싱하긔,58980,5b9f9d7b8a1d38c451419b3bc85f8999
귀검사(남),眞 소울브링어,prey,청염,60509,018a9414236e1b52820b4f6cd2c7c2c3
귀검사(남),眞 소울브링어,cain,개는,58609,9a8ecbc73beaef419a8b5ad9b97aef81
귀검사(남),眞 소울브링어,cain,명계폭군,59043,32c447698b83c68039eef0c15e8604a7
귀검사(남),眞 소울브링어,diregie,소패왕,60195,714b3c8132256030bfc9278d66179efb
귀검사(남),眞 소울브링어,cain,소울구락부,59298,adfcaf5f027b68dc301e19ba8f4a7128
귀검사(남),眞 소울브링어,cain,귀신단만세,59017,7a073c7fb404341c242069a873868526
귀검사(남),眞 소울브링어,bakal,소울하리,59547,676f08553ee119298926de9e283fd3a5
귀검사(남),眞 소울브링어,cain,벡터맨,58640,a88b4ea858b033950c79da1908f26ffc
귀검사(남),眞 소울브링어,bakal,동네놀러나옴,60515,5c3e11be5b0051169eb964f279a082f1
귀검사(남),眞 소울브링어,prey,성자쿤,60506,60e2cc05e23f4d62cbd40bdb5b70360c
귀검사(남),眞 소울브링어,cain,최재영만세1,59443,9dccce4aea540d7d01b668b93c647799
귀검사(남),眞 소울브링어,cain,땈꽁,60247,e84caed78dd0210f884be15fcec5cbb5
귀검사(남),眞 소울브링어,diregie,리베프,59105,22faefc02b7c909d4ead23edb07506c2
귀검사(남),眞 소울브링어,cain,소울브링어,61095,54013cbdf638a9a8729101144eacd94d
귀검사(남),眞 소울브링어,casillas,박진우소울,58833,c3196dd9beee68c0069d47171a0d2b62
귀검사(남),眞 소울브링어,cain,소무월,60195,a27d6a90314f24c8e08480ebfc8378ff
귀검사(남),眞 소울브링어,cain,OREM,59199,254180e20a39c7bf936e27d461a49241
귀검사(남),眞 소울브링어,siroco,남자면남캐지,58768,97c675a87444b536d6a3b6b4e0deff01
귀검사(남),眞 소울브링어,cain,금연,59561,4bc91fedd1e33339012f35f6729a4c7e
귀검사(남),眞 소울브링어,bakal,[백아]SouL,59180,b03e452fc48e537b5c0fd555c5467d35
귀검사(남),眞 소울브링어,cain,재미소울,60329,c7030a68bd3115cdb51cf708edb7d3fd
귀검사(남),眞 소울브링어,prey,케이가.,58880,2f96ce921c772ef876e15d21bd4fca6f
귀검사(남),眞 소울브링어,anton,칼라일,59515,d484ad06a40eb55c80c6f0399a9086b9
귀검사(남),眞 소울브링어,siroco,올림포스,59806,251ea49e0078f58a999178004e22529f
귀검사(남),眞 소울브링어,bakal,궁댕이원만,60905,edefbf2041a9ecf94b935d14fc817134
귀검사(남),眞 소울브링어,cain,한귀영,59101,0d0d3486d2635a9dbfbc5a7fa3d3c569
귀검사(남),眞 소울브링어,siroco,해르고,59113,a3569194513e54d8eea74dee0fbf28a0
귀검사(남),眞 소울브링어,diregie,허둥,58714,4fce624056be19ebeda9c6912b25bc2e
귀검사(남),眞 소울브링어,anton,ImNesTea,59603,8c84b256dc87a3044c83f0e3ac694ff6
귀검사(남),眞 소울브링어,cain,Soul시온,59458,f1a17aaaff8e08b4bc6fbd0faec41214
귀검사(남),眞 소울브링어,cain,바람이소울,58165,d6d2b25fbaf3ec6a218eaecf283f87c1
귀검사(남),眞 소울브링어,diregie,은현장게이트,58734,4ea8b1934806780599bc5a7b2c792d84
귀검사(남),眞 소울브링어,siroco,나쁜말,59137,a1c9237b1a24433a2043955d98eb2a57
귀검사(남),眞 소울브링어,hilder,헐잠깐만,59720,23b2a6259c1bef8530954dd875664cfc
귀검사(남),眞 소울브링어,cain,김빾업,58024,94d0575eeebcad83c191125b37955c82
귀검사(남),眞 소울브링어,cain,PC-1,60357,ef6004ac1a048905582817be7386c777
귀검사(남),眞 소울브링어,casillas,승욱소울,59585,9eb0420f2b554a3fd463a7e4722bc557
귀검사(남),眞 소울브링어,cain,[귀암],58937,c4ec5c16bccbd528e6455e3f74a7bced
귀검사(남),眞 소울브링어,cain,DisHollow,59829,022ce67e4f0be28fa37d985a30b9156e
귀검사(남),眞 소울브링어,prey,Dr.다크로드,59148,d02f21c7e466f8c5d7f2bb6bd07411f9
귀검사(남),眞 소울브링어,diregie,지공몬,58954,ab84f6ec33fe23a42ca41302a872b968
귀검사(남),眞 소울브링어,bakal,귀백해방,58604,7c74a0f4045009686173530dce6a65b4
귀검사(남),眞 소울브링어,bakal,국쟈,60501,36f37b30533a3d4cc016589d32e96faf
귀검사(남),眞 소울브링어,cain,김쉬봐,59973,2484673e2920f8f246ed1ff374f6ec53
귀검사(남),眞 소울브링어,siroco,설현,58394,0656e0f692c512cb0eabd8d24d38d3a1
귀검사(남),眞 소울브링어,cain,여루,60137,f51aaf145a0353e9e200ef3132a78fb8
귀검사(남),眞 소울브링어,prey,오레소울,58548,14bca9969d302749c566ead406ab40c7
귀검사(남),眞 소울브링어,prey,뉴비쟝,59962,a968748329447857c7e58402021711da
귀검사(남),眞 소울브링어,cain,Nogardneh,58470,cab1138d12142c6f7cd20a893a88c195
귀검사(남),眞 소울브링어,cain,*요네,58890,a1c4e90d6e9a65dfbb5d35cce8813d93
귀검사(남),眞 소울브링어,prey,밥맛,59528,964b6239579f18863aef3b51ac0d0133
귀검사(남),眞 소울브링어,prey,전설,60163,ace14141a3e6600491857e2ff83f5362
귀검사(남),眞 소울브링어,cain,귀접한광남이,59127,3433ba702145902203495c388a9951c0
귀검사(남),眞 소울브링어,cain,명임이,59239,0fe3891a695e7a2eb1c0c8b4e1555dd7
귀검사(남),眞 소울브링어,diregie,비상천,59148,4283790c8352feb7448877ba410ed358
귀검사(남),眞 소울브링어,bakal,흟영,58276,7e4a1065579adcd2d54b0ec9bb87bce6
귀검사(남),眞 소울브링어,cain,멸귀령,58640,95a700ee44088247766a18e646ac7b35
귀검사(남),眞 소울브링어,cain,허승욱,59058,0bf59f587d09927526c908b8d8dd9e84
귀검사(남),眞 소울브링어,casillas,카게야마,60149,4de030183cbde30ad126b6853784b485
귀검사(남),眞 소울브링어,cain,레렁,58655,a8b73c6fa33732dcd0ed6c52864abcbf
