basejob,subjob,server,char_name,char_fame,character_ids
마법사(여),眞 소환사,cain,달빛정령사,60225,3ccafe68a47f01d7b29d25336f5771c8
마법사(여),眞 소환사,bakal,밥똥던오형짱,59611,9896003e564768627536707851a30c75
마법사(여),眞 소환사,cain,친절한복남씨,60457,09392c9206ea0cce201418002bb7649b
마법사(여),眞 소환사,hilder,민트크림소스,61259,0daa8c49cae531262f966dd637008e30
마법사(여),眞 소환사,bakal,서병기,61422,213426e4dbed18e137b3bdc7e0939cb0
마법사(여),眞 소환사,casillas,이클립스,60829,a99e49c16d29ca157e6cf3546b3a31d0
마법사(여),眞 소환사,cain,우인애,59380,a0bfa478d40826eb561f1e406b15446d
마법사(여),眞 소환사,cain,븜숙이,59292,2020b9d4b777e4aa75f409ec763d25e0
마법사(여),眞 소환사,cain,포도레미,59561,4ee14cff9beab3344c47c77e7ae17e3f
마법사(여),眞 소환사,casillas,로엘스타,59780,7ee1a279813ed09d711e9e1f6ea0fb96
마법사(여),眞 소환사,cain,나넘기,60157,105ca4f825dac772f3f4ae0c9b327053
마법사(여),眞 소환사,anton,선고링,58085,704db7ef8f946fb7a75985b29f35f6e7
마법사(여),眞 소환사,siroco,파엠,59796,61ec504f8e542cc5b260d3f954777f96
마법사(여),眞 소환사,prey,근원적이람,59057,00a429be6c2df53c0b23a5eecf9a577b
마법사(여),眞 소환사,cain,오늘모먹지,59510,73db18c7b1b9524280ee59d9371998d3
마법사(여),眞 소환사,cain,Hurk,58943,b465bb0104ef0cfe89bcacaaf26dd39b
마법사(여),眞 소환사,cain,Antifragile_,59480,1a9ae0b8226ef975cb441606ded57738
마법사(여),眞 소환사,cain,소비욕구,59494,79fc342bf222438d850a820a6f34520c
마법사(여),眞 소환사,bakal,크크루렉븜,60629,2b9149633af42a1c2416021f40cefd5b
마법사(여),眞 소환사,cain,백석주,58948,fe0c2613d90b5cf6709d8886e6c72b05
마법사(여),眞 소환사,cain,달이소환,59558,7b651966ec9e63e9e6d8b9e380e768e1
마법사(여),眞 소환사,cain,[소다]소환사,59337,666e7fd2517b70892d1fbbb97cbd2254
마법사(여),眞 소환사,prey,돌삽,58872,50849904fe2378995cd16b3a9bf600a7
마법사(여),眞 소환사,cain,아슈보다강함,60030,b812587f5a020d004ed831e1bc762182
마법사(여),眞 소환사,prey,강튜나,60514,a5c0b87d1a245eeb90539c8d35ee056e
마법사(여),眞 소환사,bakal,란란,59306,358b7ca35aed9ef98944932c01d16762
마법사(여),眞 소환사,diregie,로리♡,59523,ac861bfcd9f57f49ced635302acb0366
마법사(여),眞 소환사,cain,소환사.kr,58698,2f3727f2dab4605146ee9994361ff80a
마법사(여),眞 소환사,cain,소녀마법사,60266,a4455f07250fd31d7a4c540a4199053a
마법사(여),眞 소환사,prey,막내돼지,58878,c4e962f69393112c14808bceba8c9127
마법사(여),眞 소환사,anton,뮤우카엘라,60032,507b1545201342353896cef4d31cac11
마법사(여),眞 소환사,siroco,소환의정령,59585,6f20903c697ddc9845a464951d92f2cf
마법사(여),眞 소환사,cain,렉걸린렉븜,58825,826ff87c55002c5aa9c552463c3cc432
마법사(여),眞 소환사,bakal,정령사,58505,0b2292f458df42e9d1a7c8bc72cd341a
