basejob,subjob,server,char_name,char_fame,character_ids
마법사(남),眞 스위프트 마스터,anton,능이,59559,d5c4fc5b0e1f80cee0543d3e73c57514
마법사(남),眞 스위프트 마스터,prey,바람,60915,f39b5d834f54a0587e0ac0cda6a9db98
마법사(남),眞 스위프트 마스터,hilder,꼬마,59782,5d5bd10f40c1c2a73e53fcaceaf5419b
마법사(남),眞 스위프트 마스터,hilder,풍설향,60483,399c283a565127472d226e01fa4f35ab
마법사(남),眞 스위프트 마스터,siroco,채권자모집중,60436,2df02230774d894b39aea70047fc0f81
마법사(남),眞 스위프트 마스터,hilder,노중무력현,60040,6e38b52d4dbf645c8e5fa7887383530c
마법사(남),眞 스위프트 마스터,cain,조윈드,59285,51eee1cf4a3b53c11fac1268c202df4b
마법사(남),眞 스위프트 마스터,cain,26세바람돌이,60552,ce6943e1e473e43ecc51cf63d7e3c959
마법사(남),眞 스위프트 마스터,cain,싸우자정점,60215,60cd18f4fd5c4cfa296b2c49c4c2c031
마법사(남),眞 스위프트 마스터,prey,디펠,59585,96ce4cd4595ccd3cfbe0c6a5d3b8d98c
마법사(남),眞 스위프트 마스터,cain,바래밍,57641,93240f3f396cdf0cd9dea4b0c92e925a
마법사(남),眞 스위프트 마스터,diregie,멸하다,58822,7aa91d60ce84aa4d52c477963ff72daf
마법사(남),眞 스위프트 마스터,prey,묘무,58730,09eca9c275d7117748e06962e53734bb
마법사(남),眞 스위프트 마스터,cain,다날려버려욧,58833,e7e7a0d4ee4d4e4b8f9e9138f41d8fab
마법사(남),眞 스위프트 마스터,casillas,지골몬,59101,47417ec09f34f0913f302be61ba67f48
마법사(남),眞 스위프트 마스터,cain,윤상,60524,e20fd3b701697f0a60478c06d3e8d9bd
마법사(남),眞 스위프트 마스터,bakal,안,59299,38a6d2c9b76126af0f11111e4030b80b
마법사(남),眞 스위프트 마스터,prey,파르페느와르,58308,7e6d227648d5edf2a39154447baddbf4
마법사(남),眞 스위프트 마스터,prey,발암의신퓽신,58182,e25fefabfe63b3bd3477d6061c51c4d3
마법사(남),眞 스위프트 마스터,prey,쇼타는쇼타임,58553,cb746cf2f9c4797df3c1663512a1e5af
마법사(남),眞 스위프트 마스터,casillas,윈쌔신,59194,63e1aaf3b79b04367dd6e095d95fbefe
마법사(남),眞 스위프트 마스터,cain,란프레젠트,58497,de72ca3cd75c2bbc8d6eed97d07af965
마법사(남),眞 스위프트 마스터,prey,봇치2기,58771,bbafcf114a6433538c3a841aa90c0cee
마법사(남),眞 스위프트 마스터,diregie,란쨔마,58615,e13bc4bbd641af8c5e0f2cb7f081ae95
마법사(남),眞 스위프트 마스터,casillas,이우제,58531,13ae89077b70f6448205bed8d494c767
마법사(남),眞 스위프트 마스터,casillas,풍바리,58152,aa6ee1ae3e8a0870da5f4d1fb6eeaea6
마법사(남),眞 스위프트 마스터,anton,바람맛롤리팝,59462,5bcf997aadc55168b61ea4d7ae18d4dd
