basejob,subjob,server,char_name,char_fame,character_ids
격투가(남),眞 스트라이커,siroco,말보루징더블,59760,f7e78c261a8882fdd5e4dd84086cc017
격투가(남),眞 스트라이커,cain,패는,60082,80db30efadeaaf440dd08638bd484009
격투가(남),眞 스트라이커,bakal,眞:유봉봉,60324,6de53b2eebf26e0eeae81e804db0ce7c
격투가(남),眞 스트라이커,anton,쭌.,59430,d9d4df746525521f34391eced00418d5
격투가(남),眞 스트라이커,cain,남슼갈,59116,a025577c2d42ff367dc47aab6c4fd95c
격투가(남),眞 스트라이커,cain,★˘˚*.¸,60760,de7a287b387e3183737820a487a4bad3
격투가(남),眞 스트라이커,cain,불족발캐릭터,57782,5ff110141aa0b2c5a4734f798a2be7ef
격투가(남),眞 스트라이커,prey,류수하,60805,c0b73006c3d7d8a2099d681be50435fc
격투가(남),眞 스트라이커,siroco,비트,60741,18a617e20c08a8006ce552d434f972d7
격투가(남),眞 스트라이커,prey,.극의.,59705,d8986251d6db17bdeb6e4852ddbd8c8f
격투가(남),眞 스트라이커,bakal,마라도나도나,60852,8c648a3332227f5177e8804f210a4dd9
격투가(남),眞 스트라이커,casillas,김데요,60552,38d0234ab8afabf6211bc551c6ade735
격투가(남),眞 스트라이커,cain,용킨,58767,e65195ddc4f67800ac80160c1b0e2ad2
격투가(남),眞 스트라이커,anton,남스팎,59766,a2cf24722757c13e2508bd5cbf8863b6
격투가(남),眞 스트라이커,siroco,정신질환자,58758,c206581d12a6c8bdeb73a65a54f3321a
격투가(남),眞 스트라이커,diregie,낙화상향좀,59780,ae5f50643f06a2dd4f6e3078d719c001
격투가(남),眞 스트라이커,cain,김꼬로스,60495,b14f29f8b1b98871ae4e8474d427bed2
격투가(남),眞 스트라이커,cain,앞집머스마,59867,5910786717249d2247bc9992fa4a9584
격투가(남),眞 스트라이커,cain,순대국밥,59861,08af1800869347dde9bef94332b20caa
격투가(남),眞 스트라이커,prey,BIGO,58554,7fe5766dc346835a354d4a371a491855
격투가(남),眞 스트라이커,hilder,열혈라벤,60021,b6644a0795f793643ac7e92f4a535d46
격투가(남),眞 스트라이커,cain,못생긴년배빵,59522,e6bd9a0459596bd459fcfbf24f8ad12c
격투가(남),眞 스트라이커,cain,키가큰나무,59425,a84aecb155b8097b9a5526ce3d171093
격투가(남),眞 스트라이커,diregie,ELNINO,60481,d2a73b480f6f54818c28c7ac6df7444f
격투가(남),眞 스트라이커,casillas,헥토는저격용,58809,59498dadb6a9d6bd64d9d39ad2beb5b7
격투가(남),眞 스트라이커,cain,밥일까?,59237,8fbddde0d53f34f9102c85ea97b43160
격투가(남),眞 스트라이커,cain,채다온,60484,bf705a78ffec4e890509fb8a231693ab
격투가(남),眞 스트라이커,bakal,솔라,58815,7729caddb44d5c0e2b4d86237229f121
격투가(남),眞 스트라이커,cain,Atomicc,59915,8a021ebae11a72d31fc5a7b585f9ab70
격투가(남),眞 스트라이커,bakal,밥똥던각,58547,d290260390b1ff62f93f9bc7112a9614
격투가(남),眞 스트라이커,cain,쑤남,60591,d018e5f7e7519e34b8ef21db0c40fd98
격투가(남),眞 스트라이커,prey,주먹왕양스커,58734,34f8ab8b1833efa5c036abec53851da7
격투가(남),眞 스트라이커,cain,먼지,60563,5b4ec1b33e619432325f2cbf36a0e120
격투가(남),眞 스트라이커,anton,듀타,59180,5ca8ed3972587aceccf721458cb948ab
격투가(남),眞 스트라이커,casillas,올쿡24,59353,0ebf376d5a73e13f206dd0badcf981be
격투가(남),眞 스트라이커,cain,패황넘야캐요,58491,6e29a701951fec162f8acd9bb243a501
격투가(남),眞 스트라이커,cain,잇취야,58998,da97df2a2ed1768b0459c4050ad52248
격투가(남),眞 스트라이커,hilder,불꽃맹습,60447,0e99c7ec6bd2a52f825a3fcd04f7f467
격투가(남),眞 스트라이커,bakal,파카센쵸,59322,8f142bd4a766dc49ea1d19a0be176dde
격투가(남),眞 스트라이커,cain,나그네Y,58916,d6ac5c0fff3119db28dcbd4b0c9ca5b6
격투가(남),眞 스트라이커,siroco,낙지,59031,a8d4910df622e53fc4e3f53954c43f10
격투가(남),眞 스트라이커,diregie,일격,58773,ce8f5c16a4ff3dae61215bda0445a054
