basejob,subjob,server,char_name,char_fame,character_ids
격투가(여),眞 스트라이커,prey,해함,60636,498f31bf2fcd8d03b6e4e1bb44db695d
격투가(여),眞 스트라이커,prey,각,59267,1c58ab79f5e34eb9738b42114a8cabce
격투가(여),眞 스트라이커,prey,호크아이,60371,af6b800f4728e1a358063925cfe5a2d7
격투가(여),眞 스트라이커,cain,부욤,59843,704f4be19313b06ff4f5b072465cf134
격투가(여),眞 스트라이커,diregie,시나오칭,59313,a0dd13bfcc53e29b212ac0d51aa4500f
격투가(여),眞 스트라이커,prey,안나마리,61109,1139a0afd1ff5642ad7d9e87ce91abaa
격투가(여),眞 스트라이커,hilder,Only_One,61103,ec62ca279b84fe7ada47626eb6649d6b
격투가(여),眞 스트라이커,cain,힌쥐,60852,f685d494f58b5bb9a2a36bce4386a9d1
격투가(여),眞 스트라이커,cain,하체운동필수,59865,bb4c42aa5782232244990c2ed3f26f70
격투가(여),眞 스트라이커,casillas,Deathweb,60694,0e0be14f1dc8440d4894292fea3497ab
격투가(여),眞 스트라이커,cain,노블코드,58364,622b5bff3a2bfad4b132a1d0457e9632
격투가(여),眞 스트라이커,casillas,REALi,61177,223e1771a5343444b2c7a5ce68ae0b26
격투가(여),眞 스트라이커,cain,담아래,60542,f3ff86393faf851a5d8c30cfa8071caf
격투가(여),眞 스트라이커,bakal,체페쉬,60897,d27e91eed7a0b3727e2555ff449e4017
격투가(여),眞 스트라이커,casillas,몰라스커함,59780,5b7fc4f3f9295fcf4125a2338303375f
격투가(여),眞 스트라이커,cain,원인치피클,60809,5b569285b2f1cf85855985068ed58f67
격투가(여),眞 스트라이커,cain,김밥대자중자,60130,d1830e07c531e233a6258450492623d0
격투가(여),眞 스트라이커,siroco,주먹,60067,bf0107f8c6c4b88ab1fc4425c74c22d5
격투가(여),眞 스트라이커,cain,원인치펀치,60595,e24662c9e89c000677f3f51222b36908
격투가(여),眞 스트라이커,prey,돼송이스커,61135,03db5d272359677a847a512215d0f838
격투가(여),眞 스트라이커,cain,메리양,60276,6720b93c56e919054101a726f632d539
격투가(여),眞 스트라이커,diregie,Shine,60660,0213ee0c41f2c93d7219aeba6f0075b9
격투가(여),眞 스트라이커,bakal,사로란.,60556,1a24ae35617445e0dc787ed54c6f0229
격투가(여),眞 스트라이커,anton,[은여우],59993,e163c5dfdad857cda279dd821d65e9b5
격투가(여),眞 스트라이커,hilder,강력한로킥,60381,9fb77bc6a8c90628d32a10f9e15d81a7
격투가(여),眞 스트라이커,cain,(어란),59742,af8eeac0d5a3399d4d0e329e75366279
격투가(여),眞 스트라이커,prey,구운동카이저,60360,552f9da3b05aabc24106243a7a2b4c7f
격투가(여),眞 스트라이커,hilder,느~슼커,59006,61c6015edb93625b4544ad78b622a0a5
격투가(여),眞 스트라이커,cain,돌아온주인백,58720,6968af9e29f5d3b8cf7d10804fa406bd
격투가(여),眞 스트라이커,diregie,키로베로스,60840,0aedd9b7e0e3e8f2ebfa7dbaea928a6a
격투가(여),眞 스트라이커,hilder,야야얍어흐흨,58919,1137e188be08b4983684d82a4dfc13bb
