basejob,subjob,server,char_name,char_fame,character_ids
격투가(남),眞 스트리트파이터,bakal,깔개명왕,59254,7291ab1a2a6b26e242d6e0695b59ef6b
격투가(남),眞 스트리트파이터,bakal,띵기세,58653,2dc2abc2a480e4f948ceb022c90247e0
격투가(남),眞 스트리트파이터,prey,고성능불빠따,60263,b81e2e022747c570f50586fae88dfd94
격투가(남),眞 스트리트파이터,prey,원만띵왕,59267,29ef52fa8cf5a21754383531a8d3ec59
격투가(남),眞 스트리트파이터,bakal,낚어™,59771,0aca6efc0b1240f14b32dc54c6b6fec2
격투가(남),眞 스트리트파이터,bakal,크발몰빵,59241,17fabab4643e4f15cac13b1c10e29ce2
격투가(남),眞 스트리트파이터,bakal,허물명왕,60495,3e48dfb5671cd89f79da779966836991
격투가(남),眞 스트리트파이터,prey,상암동불빠따,59077,a4fd65fe68944e61fcfd58e7177c8f68
격투가(남),眞 스트리트파이터,anton,봄날명왕,59344,08bf981567361d4c300f04975d46d457
격투가(남),眞 스트리트파이터,bakal,콜라와띵왕,58541,aba52ac61f736b8a6b678962f40c7d17
격투가(남),眞 스트리트파이터,casillas,가둬버렷하응,59695,a51677ed7324e636d1bd1ae74f13ffbf
격투가(남),眞 스트리트파이터,prey,다때려부술껴,59932,ba222bf536687380671271e4c7b3473f
격투가(남),眞 스트리트파이터,cain,돌아온불빠따,59494,446d58429a8a0b4e2b44153d56d52696
격투가(남),眞 스트리트파이터,prey,초딩패는성인,58328,a577e3be17ed18676500f5e12a78c7ce
격투가(남),眞 스트리트파이터,diregie,단단깡깡,59902,1c9c587f679913e3127ea965b72ae1ac
격투가(남),眞 스트리트파이터,prey,파파띵킹,58793,6a64dd2494e37bae1860f3ad912de828
격투가(남),眞 스트리트파이터,cain,상변템주세요,60040,5d7bf12b9f825f8b6b8aeccd81f3ec78
격투가(남),眞 스트리트파이터,casillas,명왕,60481,130e71a6d5a12631fc6dcb70987145e9
격투가(남),眞 스트리트파이터,cain,잉튜브,56359,fb7ed596a64651a7c099040253000176
격투가(남),眞 스트리트파이터,cain,JunT,58043,3fc43b51e084ec9e50bbd8f20cbdef70
격투가(남),眞 스트리트파이터,bakal,정신상태이상,58869,266b925d8c6015b5c75b4591bee3ef6e
격투가(남),眞 스트리트파이터,anton,v지존꼬리리v,59312,832e7d768747575bfbeeeed1bdad86f8
격투가(남),眞 스트리트파이터,casillas,동카콜라,60181,537e1b61656ea02a4408d487a0c89e9b
격투가(남),眞 스트리트파이터,cain,감동투척,58388,ecb3f6885703210993a5a1f54a495e90
격투가(남),眞 스트리트파이터,casillas,다툼,59494,cadf4b89661f3a3af367dacf6245c2cb
격투가(남),眞 스트리트파이터,hilder,크발싸개,60297,981d69faf1063969d41cee7e2a375115
격투가(남),眞 스트리트파이터,anton,매번임,59456,c6ace66200652deee16bddad40d63b2b
격투가(남),眞 스트리트파이터,hilder,멍호,60149,4769c50b6efda6e92d0a372eb1c037e7
격투가(남),眞 스트리트파이터,cain,길치양,57434,9baccca314595503b4c46395615659d1
격투가(남),眞 스트리트파이터,bakal,쨍,58698,6d057371eaa6374e8442853612e27677
격투가(남),眞 스트리트파이터,cain,서푸양,58174,550aa2b5de6875a48310cfc6a1f2e386
격투가(남),眞 스트리트파이터,cain,천수파파,59556,39b536e57731d4ec919ff6b29e6004ea
격투가(남),眞 스트리트파이터,cain,선투척,59415,621fa12c23793fdf9897c4808ace2750
격투가(남),眞 스트리트파이터,cain,마운트애호가,58354,3732f59e6f65faa11598c21eaa74f409
격투가(남),眞 스트리트파이터,cain,복실복실크발,57867,3370d19b38fa3c18883cdde05178e0bd
격투가(남),眞 스트리트파이터,casillas,빠말2,60195,1d51e816394c61d0e049bb339b080e9e
격투가(남),眞 스트리트파이터,casillas,빠말4,59194,7d97cf67cac863a3532ef03ebef76b6f
격투가(남),眞 스트리트파이터,cain,주님의요술봉,58905,796a4c9fa7fe35cc63c893d583de312d
