basejob,subjob,server,char_name,char_fame,character_ids
격투가(여),眞 스트리트파이터,cain,루도나,59757,9801852953c28ad96bdb8c0f87355671
격투가(여),眞 스트리트파이터,cain,꿈처럼멋지게,61245,0fa3ea10e23577bf4849937c101c9f2b
격투가(여),眞 스트리트파이터,diregie,나무위키,59840,884c0d79f7b89ae559f210b61064ddc9
격투가(여),眞 스트리트파이터,cain,쿠든,60354,3b1179155497307508867d9f8e7bc71d
격투가(여),眞 스트리트파이터,bakal,새콤드랑,60080,cd496fc93ddf213351b41d253ae62ac8
격투가(여),眞 스트리트파이터,cain,김봉근,60795,8f6791c182d003275f0c20cc837238f7
격투가(여),眞 스트리트파이터,cain,용끔,59780,09b42a5006aae4906fb89a9b167d9ec8
격투가(여),眞 스트리트파이터,siroco,윤독비,60124,56f92c9876d23ca5d2df8b7ad21f461e
격투가(여),眞 스트리트파이터,prey,제르독왕,59794,6c93ae64701d64241dedab481f479367
격투가(여),眞 스트리트파이터,cain,누도나,57918,f8ffd3d7e22cb8f60816f66871d5e366
격투가(여),眞 스트리트파이터,prey,루인아트??,60643,1cf1decca55f70bb97ca1fe7b9ca0540
격투가(여),眞 스트리트파이터,cain,FunnyLady,60852,75ae481bef5e3cc149afd5b030bcdf24
격투가(여),眞 스트리트파이터,siroco,세어보다,60252,e7b87821cd36340366619a8bf5a20e08
격투가(여),眞 스트리트파이터,prey,천토끼,59706,87c0478f0caa3f5dbe2d9b883f4fb1f9
격투가(여),眞 스트리트파이터,cain,떡상각이냐,59585,faef07886522512aed6908c887da3dd0
격투가(여),眞 스트리트파이터,cain,용독,60195,6bfd26447650c240986b6fd79745438c
격투가(여),眞 스트리트파이터,cain,개의주인,58551,90b2d2629ce0dc48b9746efba6b390ef
격투가(여),眞 스트리트파이터,diregie,김독비,59448,c7264a866214769b9abf8890ea758780
격투가(여),眞 스트리트파이터,cain,독븜찌,60112,7f94692a747dd1fd3c646a05de5a569b
격투가(여),眞 스트리트파이터,cain,전통찜닭맛집,59433,4c9a798c4bd00fca5bd1ff7053580821
격투가(여),眞 스트리트파이터,cain,쌍칼,59494,c08ace8ea282b2612d0a4976416a2dbd
격투가(여),眞 스트리트파이터,bakal,현범부,58665,035e4db48a571867108afd35094ba505
격투가(여),眞 스트리트파이터,cain,독으로딜해요,59751,95ff86e3d08a442616ce3965f7a6533c
격투가(여),眞 스트리트파이터,cain,a호수,58501,6a04b3d906b7dd890514dfc5581b5524
격투가(여),眞 스트리트파이터,prey,毒魔神레일리,60291,30457433f85c1170a8ab5bad0af68311
