basejob,subjob,server,char_name,char_fame,character_ids
귀검사(남),眞 아수라,casillas,뀨엉,59563,fc85c4b113fa2a9c044628adae1a4b04
귀검사(남),眞 아수라,casillas,♡달,58904,2f60a7b5f2a00b016e3c41383dfe2a8e
귀검사(남),眞 아수라,hilder,페르수라,59552,5c3d5036afa64f64b7e5aa94cee44245
귀검사(남),眞 아수라,diregie,마츠다세이코,59123,7b60926359369809cc54a1e5bd62a8cb
귀검사(남),眞 아수라,prey,나는연어,59980,4ad0c93931864bacee1e295e2b23faa1
귀검사(남),眞 아수라,diregie,서머즈,59375,262634b2e173034178f770f93bfab7bf
귀검사(남),眞 아수라,cain,冥,58932,72f0dbbb9d538ec681fc5b1404693b99
귀검사(남),眞 아수라,cain,Scarㅣet,61361,4bf4b8909c7bd2494d94048f7339633f
귀검사(남),眞 아수라,diregie,슬,60694,88e5b75375674514b9c31fa323356756
귀검사(남),眞 아수라,casillas,인다라천잼,58475,b31516643e208c039fb3db1ba2588cf4
귀검사(남),眞 아수라,casillas,시바시바,60436,c694b31ec485be3452ae5b390a74c613
귀검사(남),眞 아수라,cain,깉,60528,6f80b0b0a1e86822e89f438cf220654e
귀검사(남),眞 아수라,cain,문반이,59030,8976993f949dabb31272c026546098cb
귀검사(남),眞 아수라,prey,대암흑춴,60547,9ffe0ce4d70693786b11d1eb30c2b1e0
귀검사(남),眞 아수라,prey,글래머_수라,59753,80fda922d0bc9aae6f960e5e84d58e18
귀검사(남),眞 아수라,hilder,워혁,59193,1bebfbf6a59491134547a86b648fff42
귀검사(남),眞 아수라,bakal,님하전번좀,58684,dfa6c8ae27ab02801dae6654232dca34
귀검사(남),眞 아수라,hilder,명,59630,255698a4628379426b99bd3c4698d8d2
귀검사(남),眞 아수라,cain,엘시=에더리,59203,4f97248d21b55b9ff4d5e5a243b0e212
귀검사(남),眞 아수라,cain,저지먼트아렌,58819,2f0b44725356a827e47843bed935f9ce
귀검사(남),眞 아수라,cain,김몰루,58879,26d7f9126132ae62ee2bf0eee351102d
귀검사(남),眞 아수라,cain,야돈구이,58945,956b6a52ed4cc58a26c1eb235f887b38
귀검사(남),眞 아수라,cain,내가장님이요,60235,588dd8ad2bea94eed7c76417d9e77152
귀검사(남),眞 아수라,casillas,멍청해,60350,7f953b4251cc134e25e7db6cfeb5bbb0
귀검사(남),眞 아수라,prey,강태구,60048,4078097d16f413b46d312f781068817c
귀검사(남),眞 아수라,prey,삼각동검귀,58969,7cc2baaf07e214a8b80106524e580eb2
귀검사(남),眞 아수라,casillas,[雷雲],59251,5fc9014e6e6d29381f77b971fb11c551
귀검사(남),眞 아수라,cain,홀딩왕김작파,58825,246c55bfaaa580600f67610602693838
귀검사(남),眞 아수라,prey,수라.다르티,59553,dc98a0add596b088435aa4672cb30a2a
귀검사(남),眞 아수라,hilder,송전선로,58969,df6ddebc1387983159d6bb7812aa9a6d
귀검사(남),眞 아수라,prey,파동왕수라,59599,06ee877657548a9940626b039b933130
귀검사(남),眞 아수라,cain,氷人神,60514,951386732dc7bb07c17e129aec07e0db
귀검사(남),眞 아수라,cain,광명스완,59137,9b7dc9aa2ec8a3e239fb103cc2bc225b
귀검사(남),眞 아수라,siroco,와나비4,59400,28b28670f08d05721d8c5176a12b52e0
귀검사(남),眞 아수라,bakal,찍먹아수라,59017,d19af6a3d4970e79f94fa8349b6d6a65
귀검사(남),眞 아수라,hilder,아수라.#,59342,8743e5b78480f64720fdb0222415ba18
귀검사(남),眞 아수라,cain,ZERONE,58766,fe1fae7628d32d197750c10e59621117
귀검사(남),眞 아수라,bakal,천뇌수,59215,bfe83b70ffdc50712ca415f785a20b65
