basejob,subjob,server,char_name,char_fame,character_ids
프리스트(남),眞 어벤저,hilder,Deep-dark,60155,d2dd0bd71fe94265116c75ef4950b782
프리스트(남),眞 어벤저,cain,PS-범이양,59862,d98655f3a306b5f45ff092821806fab5
프리스트(남),眞 어벤저,diregie,최춘길,60863,6ed56f98b5f3b10d6a2095ffd64f20f6
프리스트(남),眞 어벤저,prey,다크고스윤,60248,e955c0c9d4f6d864716bb652ecdc0c01
프리스트(남),眞 어벤저,bakal,악마,61109,8b3b8950a6dda83c860678543ebee649
프리스트(남),眞 어벤저,cain,창수어벤,59551,51981beedc060c7e2efb11ddb998e7b7
프리스트(남),眞 어벤저,cain,사탄아저씨,59884,445749897cdb3700bdb4f200266b4ec3
프리스트(남),眞 어벤저,cain,모탈양,60409,2e9218981f1f6413c380415cf582681c
프리스트(남),眞 어벤저,prey,둠스,59561,7c87cf85cb1a2e61deb360866538a010
프리스트(남),眞 어벤저,casillas,GiHyeok어벵,59525,60c6fb59b6c16f48acac9de62462a16a
프리스트(남),眞 어벤저,bakal,베로스,59121,19b533b721fe68548497be6e7f6aa87d
프리스트(남),眞 어벤저,hilder,바싸짐승,59166,229fedb0f3a4a1682557c801255a14cb
프리스트(남),眞 어벤저,prey,개돼지맨,59413,96f404bd0d3b15b584c0bd4f56e453df
프리스트(남),眞 어벤저,cain,휘춘이,60283,d05d254d5a55bf66ffbb7aacd35c2f71
프리스트(남),眞 어벤저,diregie,므리캭,59180,11a1134fcf3b485e0c763bc53d202895
프리스트(남),眞 어벤저,anton,붕앙,60332,a87a7f93ccf94f0afc3d4a2774f910f6
프리스트(남),眞 어벤저,prey,닐찌,60566,6e8ce7b7a396a17ed60811dc7d5e4f75
프리스트(남),眞 어벤저,casillas,화수고,58948,c6bc698edae46df62ddf844265e4ee64
프리스트(남),眞 어벤저,casillas,GreenMonster,59105,f89ddcee40299786649494d7be05fdeb
프리스트(남),眞 어벤저,cain,지존최강악마,58880,98d5e0f090da1a9dde4f45453345619e
프리스트(남),眞 어벤저,casillas,악마유석,60020,4ef4a8d4bf853231e3c3b7407e72363b
프리스트(남),眞 어벤저,bakal,이승빈,58915,57516e1f974acbb9aaa98f38792c6b04
프리스트(남),眞 어벤저,casillas,Dr.헤신스,58108,193be2ab5f1f4f652eac6d6fe0417c1f
프리스트(남),眞 어벤저,cain,앙마에오,58297,aaa47b8d25c49a06e9beb464542d6864
