basejob,subjob,server,char_name,char_fame,character_ids
거너(남),眞 어썰트,hilder,곱등맨,58164,687ab5907ac8236bd5dd830edef5098e
거너(남),眞 어썰트,prey,절새,60048,993c2bdba5b619edc4823dea5022e024
거너(남),眞 어썰트,diregie,가람어썰트,58683,8e8d5f6f7c4241d995d98c1fc3aac93e
거너(남),眞 어썰트,prey,La-Pa-Pa-Pa!,59990,aa33a52e407d28615b1812eaaeee5c70
거너(남),眞 어썰트,prey,절새2,57871,58843537b974814780b13405583e7974
거너(남),眞 어썰트,cain,CODE:ENDGAME,60749,38a49a5c7cce065bd3d70e24eebb68c2
거너(남),眞 어썰트,cain,월향마키나,59622,e214150ab6bd7f8bf9b2782e2ef07146
거너(남),眞 어썰트,cain,방가워애두라,60481,ed76091a018bab5c6eefc414d59c8098
거너(남),眞 어썰트,casillas,봄에취한야수,60515,b1a8bc6a11260d6c5ddb277e2c239063
거너(남),眞 어썰트,siroco,용호동정만호,59480,4dfea36ed0bb547164103186ff2162a6
거너(남),眞 어썰트,prey,레공어썰트,60648,c4949cfb3df1ac3452cc1b1e37bb05c8
거너(남),眞 어썰트,cain,곰돌이사골,59595,bfaafd33e67c8fe476715b4c7153d9cd
거너(남),眞 어썰트,cain,사탄루시퍼,59735,f9db99ea59d3363a2ed04aefd1e39501
거너(남),眞 어썰트,cain,랜드러너RX,60453,b8f134c121d4d7501af8823659964962
거너(남),眞 어썰트,prey,먼지가된다,59208,d7b8eacb01940f1c8944968413fcaa5d
거너(남),眞 어썰트,prey,어썰트위치,59491,23f67dc627109107dc8e9aeb9e55394f
거너(남),眞 어썰트,hilder,혼돈의오즈,59686,2847f5c885224dae98fa4906432463c2
거너(남),眞 어썰트,cain,이즈피플,59273,9515a07d3435e48344a56a47038342bb
거너(남),眞 어썰트,cain,엑스밍슈,58211,0b69ecc9912c5128f8b7b431af1dc1ee
거너(남),眞 어썰트,bakal,때잇,59515,e14b4ddf8166d164a732dda41388aa6f
거너(남),眞 어썰트,cain,림파이어,59269,6357ea2db7df7eb959c84b9f513607e6
거너(남),眞 어썰트,casillas,강한깔개,59815,c9cc7d10322e4ae966456e32538403e0
거너(남),眞 어썰트,hilder,우기써트,58489,4cf8ab2b691bb8af8b1e38ecd6707c6b
거너(남),眞 어썰트,diregie,정기포,59624,4f200c3cfa01ad4ac2bb404e7a9d5e86
거너(남),眞 어썰트,cain,설주원,58908,010ff576bff76fb1fd005fb72249ae6d
거너(남),眞 어썰트,diregie,왓츠,59584,88840e4e4211ced8e9627d453b2b9933
거너(남),眞 어썰트,bakal,메스가키어썰,59585,627546dff972b58bb31a3f66cc8a440e
거너(남),眞 어썰트,cain,벚꽃남자♂,60577,7ae4fc564dff02c2e01d07deb00b7324
