basejob,subjob,server,char_name,char_fame,character_ids
마법사(남),眞 엘레멘탈 바머,prey,떼히잉,59900,4580abe3792461f8f18a39b24a71a5d9
마법사(남),眞 엘레멘탈 바머,cain,프로즌하트,60430,095a1af6c2d7ef73a6343ce152c93bb7
마법사(남),眞 엘레멘탈 바머,prey,민두의반란,59093,a925308426342056992ca2877867c161
마법사(남),眞 엘레멘탈 바머,cain,초롱이추워요,59635,3d7907bb4d1b6b2c59bf01763c71323a
마법사(남),眞 엘레멘탈 바머,anton,송하영!,58969,1dc42f671ed433173c80ecb836e822fa
마법사(남),眞 엘레멘탈 바머,siroco,우.럭.조.아,59127,e2c5742465c4c9cfddb7a685464d3d0e
마법사(남),眞 엘레멘탈 바머,casillas,백발트리,59885,72a0dd70722531e4926d88783c2506de
마법사(남),眞 엘레멘탈 바머,cain,검은장미가시,58853,33b924f984cad2304e062b75fe5689d6
마법사(남),眞 엘레멘탈 바머,casillas,르제스키,59895,5296df7f11b3a8f3025d8b205f327dbe
마법사(남),眞 엘레멘탈 바머,cain,우럭무밍,59673,1e2587574bb16459e644c4f2fa0e83e8
마법사(남),眞 엘레멘탈 바머,cain,우럭통,59444,05cca5a70e4fad149f606648ac1a5c86
마법사(남),眞 엘레멘탈 바머,siroco,처키,60309,602bc63abb99e97503fee0020762d56d
마법사(남),眞 엘레멘탈 바머,cain,밤냥팡,59781,6dfde6221f98ab85ec3905abee6a52e8
마법사(남),眞 엘레멘탈 바머,cain,찬남법,59616,3d6e3029d66767e46ebc52b9657b9337
마법사(남),眞 엘레멘탈 바머,prey,우럭보틀,58805,22f7f75d669669c748d0afa0d7a10bec
마법사(남),眞 엘레멘탈 바머,bakal,울러기,59515,f0717d80e2b2e7fcf2c0c2e0adb2a9fd
마법사(남),眞 엘레멘탈 바머,siroco,평타캐,60340,6dbcaf8d83e3aab79f15af40b05694f5
마법사(남),眞 엘레멘탈 바머,casillas,빠모스,58787,7e38d646e4d4aa0cfd77b2d71feb15c1
마법사(남),眞 엘레멘탈 바머,prey,므지개,58744,579f077f356daa42e0506b9f07d4d6eb
마법사(남),眞 엘레멘탈 바머,cain,꿈의길,58602,4fcbe3e89a20e51dd2e90deb7e345dad
마법사(남),眞 엘레멘탈 바머,cain,원이네우럭,59839,f5511fc9a01c1f7d381383fb1d998cda
마법사(남),眞 엘레멘탈 바머,anton,장미년,59559,cd5317dc7d049baae0d8bb2aefdf9bb2
마법사(남),眞 엘레멘탈 바머,prey,대마법사우럭,59663,500276e48f50301c40bc092f75276b37
마법사(남),眞 엘레멘탈 바머,prey,스키비야,59224,6a56a43c7413c68ecadf22d3dc38af77
마법사(남),眞 엘레멘탈 바머,prey,짱선화,59161,80d644d8f27ed8bf3bfc71817e487819
마법사(남),眞 엘레멘탈 바머,diregie,워록,59004,9c6458dd0443077b71613bd99526879d
마법사(남),眞 엘레멘탈 바머,hilder,Kals_Tainer,59114,dc10803e458c62532f8eba1d1f6c738b
마법사(남),眞 엘레멘탈 바머,cain,어?!라?,58899,b782b699e9f72e54a5d9542d5c72a504
마법사(남),眞 엘레멘탈 바머,prey,쁘띠큐티엘마,58890,458c2ee8a496da1e176fc7bbd1534d76
마법사(남),眞 엘레멘탈 바머,casillas,주작선장,58211,2b12a4ca04ed20af000daad27c3dc5df
마법사(남),眞 엘레멘탈 바머,casillas,우럭사냥꾼,58377,5d2c7ded0f79f07df11d9414e4778f65
마법사(남),眞 엘레멘탈 바머,cain,동동법,58773,06f0ab56bfa737e374844c091407efab
마법사(남),眞 엘레멘탈 바머,anton,시리우스블랙,59326,73dfa441034ca63a87fafe040ed59575
마법사(남),眞 엘레멘탈 바머,casillas,븝끼얏호!,59952,2c6d80f907b51a6e9874d8f1d360b662
마법사(남),眞 엘레멘탈 바머,prey,앨래맨탈바머,59166,cdb1adbdf9266214089f29d15164d8f9
마법사(남),眞 엘레멘탈 바머,cain,렌듀립,58629,6d98f456c73c51fc81e87cb68543bf6c
마법사(남),眞 엘레멘탈 바머,anton,뿨,58422,74ccc776560e822e0a6ae1947a3f29d7
마법사(남),眞 엘레멘탈 바머,casillas,Beard0,58955,cdb57698a0ce55d7a535333118a7d471
마법사(남),眞 엘레멘탈 바머,cain,ThomYorke,58041,5efc58021ef4591decd74c9e1b34f1be
마법사(남),眞 엘레멘탈 바머,prey,진아슬란,59780,d769936d2b38ee29207bf22951b9ffea
마법사(남),眞 엘레멘탈 바머,cain,마치우럭따,58283,a20fcc15a97dfb10dbada8cc00da9060
마법사(남),眞 엘레멘탈 바머,bakal,충우럭,58282,e72d157438e7bcbd161e2119af60ceb1
마법사(남),眞 엘레멘탈 바머,casillas,educational,58402,23ca7dea3aa240603510fb4cbb0676fc
마법사(남),眞 엘레멘탈 바머,casillas,팬,58430,586a6e3ae2bff23f0715bdb22abc0020
마법사(남),眞 엘레멘탈 바머,diregie,레른양,59044,b4adc808efa5c5425f23b84b8d4c1c72
마법사(남),眞 엘레멘탈 바머,bakal,워록턱,58359,281967775c20450d352a41a6bd27ba60
마법사(남),眞 엘레멘탈 바머,cain,폰쁨,58549,2999f62e0cd5197a8dd782036a8a2b6a
마법사(남),眞 엘레멘탈 바머,anton,이다음달,59374,ec0196d03db22ec86ac199c3162877aa
마법사(남),眞 엘레멘탈 바머,cain,우럭섭,58540,ebb8a233e5a00f6844166c7dcfdaa81a
마법사(남),眞 엘레멘탈 바머,hilder,트리플,58540,0c5ac3b7317e7557aa1fd1e402d32310
마법사(남),眞 엘레멘탈 바머,siroco,태보격투가,57855,09fc4927a8b5688b13da5e6ce7e22c5c
마법사(남),眞 엘레멘탈 바머,cain,당줄,58374,1eb348ff670d9c815ca84fed454f6d01
마법사(남),眞 엘레멘탈 바머,diregie,우럭광어초밥,59085,78d81704327eb71cd2e63a0842c145ca
마법사(남),眞 엘레멘탈 바머,cain,퓨어팀,58275,8c78c204d2c1aa22b031f9173ce45b6d
마법사(남),眞 엘레멘탈 바머,cain,슈삘,59114,99eee0bd520d35c3f0cf8a0c07a67913
마법사(남),眞 엘레멘탈 바머,siroco,아즈밤,58636,3b072a0e942fc4876e8096775f98a7cd
마법사(남),眞 엘레멘탈 바머,siroco,카넬리아,58124,77a3fb725df30faf9d28d259cf9ad51b
마법사(남),眞 엘레멘탈 바머,cain,기나긴여정,59267,0226eb33e24dbfe56c9b7c60723796fe
마법사(남),眞 엘레멘탈 바머,cain,언덕위꽃망울,59011,c77715432ef1fda1b09a576bce52518b
마법사(남),眞 엘레멘탈 바머,casillas,DㅂD,58330,88457c005376a968d5742be61e1f039f
마법사(남),眞 엘레멘탈 바머,cain,BomberOrder,58923,d8f5d1a1f53513ada09742ee1aec91f4
