basejob,subjob,server,char_name,char_fame,character_ids
마법사(여),眞 엘레멘탈마스터,diregie,정수기1,59905,8a0e64e34292e9e3b33dc9498f1841d7
마법사(여),眞 엘레멘탈마스터,cain,원소싸게,59539,6f0849e7226fd29dbe06ba741aa6933f
마법사(여),眞 엘레멘탈마스터,anton,윶쯔,58960,9a69d8d37503477efa7e7267389f5db6
마법사(여),眞 엘레멘탈마스터,cain,-Balenciaga,60029,ae86b8c991a1b4f4e1126eaac3d243ef
마법사(여),眞 엘레멘탈마스터,cain,썬붕이,61104,9e9aecb66127af0a87ca58adf81e1923
마법사(여),眞 엘레멘탈마스터,bakal,엘마신화,61072,3c950b1b06698bc968f5412ef394b6b2
마법사(여),眞 엘레멘탈마스터,cain,산들화,61395,b51fc8642f290c78a584b8af37c4e1b1
마법사(여),眞 엘레멘탈마스터,hilder,처녀,60852,e4762f4505c3172dbcbee835464ad4cc
마법사(여),眞 엘레멘탈마스터,cain,초월문,61177,45f7faef67e4dc60c3d87324ac1a0b6e
마법사(여),眞 엘레멘탈마스터,siroco,욧상,59625,ce03d70fde8c4243214851fdd11d6911
마법사(여),眞 엘레멘탈마스터,cain,븝똥던,60756,524b2b0e8c5655e8a8d26bbd7121d784
마법사(여),眞 엘레멘탈마스터,hilder,유비나,60795,a6d076bd784f5c0bfd13ceb8d3cc3810
마법사(여),眞 엘레멘탈마스터,cain,Archmage,60715,d52035e67809c198a8b9e4deb5f7fe7c
마법사(여),眞 엘레멘탈마스터,casillas,초월셔린,59808,c7bd73f608ed745754c1eec75264a929
마법사(여),眞 엘레멘탈마스터,cain,려하리,60185,bef13027d5f962bcfb530cc8e26a79c0
마법사(여),眞 엘레멘탈마스터,diregie,김구와애국단,60326,64ed6ddc4c28171e635311ff88dc6e61
마법사(여),眞 엘레멘탈마스터,bakal,엘마최저점,58969,caf1bae50fe3528e508b251cfc72bf7e
