basejob,subjob,server,char_name,char_fame,character_ids
귀검사(남),眞 웨펀마스터,cain,빨래줄,60251,78c3a52057f580c290e5d58952592598
귀검사(남),眞 웨펀마스터,cain,백나람,59752,bffb63ad9fb55340bfb1939601035068
귀검사(남),眞 웨펀마스터,prey,원이검,60216,3779cbc5440c60474e2b9d73e3a65a1a
귀검사(남),眞 웨펀마스터,cain,루승룡,59418,7c6b5cf46d14dab1a0aab47360109cfe
귀검사(남),眞 웨펀마스터,cain,로슷흐,59402,7228eddfd43804928ad24bc46e9d48ec
귀검사(남),眞 웨펀마스터,siroco,마우스,59796,8799a97922e6564081b5ee52bbe96e9f
귀검사(남),眞 웨펀마스터,bakal,껟,60036,f23253f9134f14f9eff284cb1fccb27d
귀검사(남),眞 웨펀마스터,cain,Last아담,61259,5e7eaf266dae15f2eb7ca301c0fa269e
귀검사(남),眞 웨펀마스터,bakal,제이,61152,aba504702f9677e4504ce639daef3a82
귀검사(남),眞 웨펀마스터,anton,검신엔옥수수,61109,e313492a0e68b168062da39134403a75
귀검사(남),眞 웨펀마스터,hilder,찰리.,61200,026c586858dfdad89f06396c332157f2
귀검사(남),眞 웨펀마스터,cain,젠틀한검신,59790,1ea43cb9e5cee95ae042ae8e5efa3784
귀검사(남),眞 웨펀마스터,siroco,신비검신,60443,1480d0db56d90720e25a86c74b6a9c75
귀검사(남),眞 웨펀마스터,bakal,체원,61381,43555446f17e37fcf3eb546ee312d0f8
귀검사(남),眞 웨펀마스터,cain,검협,60923,e270463952c8253766273f4a8ae83cc3
귀검사(남),眞 웨펀마스터,diregie,짭짭신,60402,7731cd3e94b40a338dd20071af298ce1
귀검사(남),眞 웨펀마스터,cain,키비치,59414,108ca525957edbaf5634c82ef2749ff7
귀검사(남),眞 웨펀마스터,casillas,참철단장얀쿡,58241,8d12ed654ddc14c1e072656ceed25570
귀검사(남),眞 웨펀마스터,siroco,차지마스터,59733,06916ee68e7fef22af2b6e2bced04c6a
귀검사(남),眞 웨펀마스터,cain,검신김경석,59475,9dcb04cff15c71bd13ca109b84016032
귀검사(남),眞 웨펀마스터,prey,김영태,60158,f23c158a196e9e6ea5bf8ccd51f56006
귀검사(남),眞 웨펀마스터,anton,맹룡선풍참,60781,608621971ad2e8863a66a5698be18658
귀검사(남),眞 웨펀마스터,prey,카루검신,59762,105036e8621279b9815567024fb0b020
