basejob,subjob,server,char_name,char_fame,character_ids
마법사(여),眞 인챈트리스,cain,헤카현,57597,04266e6b0bace462f2610e50b2d3bca9
마법사(여),眞 인챈트리스,cain,둠강정,56171,7cc2e2c37925033615acf0f4303c3e33
마법사(여),眞 인챈트리스,siroco,생명의罪,56317,41a2dc12bb7fe4f39bb22035cc116b48
마법사(여),眞 인챈트리스,anton,하우스수박,56957,1b76877ff38bfa0f674d5eaebd5a45e5
마법사(여),眞 인챈트리스,hilder,날먹왕김인챈,56976,1ac50ea6e531c15064811b8d77be04d4
마법사(여),眞 인챈트리스,siroco,초등학교일진,57938,eb86c944948256c9765431c906aa94a4
마법사(여),眞 인챈트리스,diregie,리오플록,55995,dc674df8c8516fdb1e0e525fc6642eae
마법사(여),眞 인챈트리스,prey,염원의꽃,57276,54aece7feb8e2c2c71b380e52d95f557
마법사(여),眞 인챈트리스,prey,피의바다로,58360,824bcd98bb1066024c097fa79e9623b1
마법사(여),眞 인챈트리스,cain,奧空アヤネ,59285,fc5d0acb0dccdf71c0d02a553706fa6c
마법사(여),眞 인챈트리스,cain,루빛의메이든,57870,606e4d55af8183caf85ec00e3c8048b8
마법사(여),眞 인챈트리스,prey,인챈빠헤카테,58803,efd61c992f729f19d3307a6b04dfb9da
마법사(여),眞 인챈트리스,siroco,마린(9세),58775,c55699421295895f0019dae4b8ecfcf7
마법사(여),眞 인챈트리스,casillas,알아서할거야,54620,197f8a57be07ab6493cdc6f05898d8da
마법사(여),眞 인챈트리스,prey,유소인챈,54900,601ac6389479b3f2b5336c61cc842342
마법사(여),眞 인챈트리스,cain,챈냥,57515,2ff896229a1330076a341db692cbeeaa
마법사(여),眞 인챈트리스,diregie,아기인챈,58050,dbd44d720d2db112cf9ed9bbf4f68a79
마법사(여),眞 인챈트리스,cain,-16P,56782,7c2fb60f290762164fa1b5cc019bb485
마법사(여),眞 인챈트리스,cain,혜성쓰인첸,58610,69396a9edf8b5d32aaa3a4a59a79cb3c
마법사(여),眞 인챈트리스,hilder,리아페르,58776,8be06c71dcb343987430bbf33dc1cb33
마법사(여),眞 인챈트리스,cain,챈양,60112,ed44aee04189a3e45c9b6ed914b9a709
마법사(여),眞 인챈트리스,cain,겨울방학용,60196,aa144fa47ff782c0b359bcc561ca427e
마법사(여),眞 인챈트리스,hilder,멋쟁이븜,56783,960881d3052f9757f3e04c61de25c84c
마법사(여),眞 인챈트리스,prey,나나히라,58475,9718d68a48f5baee4fe6b057f48b14c2
마법사(여),眞 인챈트리스,cain,토니의캔따개,58600,66709bfd6d1976f5239127688e1d4a1d
마법사(여),眞 인챈트리스,siroco,트릭컬,58152,d925e14182e1393415d1afeabcbb1d51
마법사(여),眞 인챈트리스,casillas,고스쿠라니,57180,d47f81dd984ee7d8a382b882f7b24b58
마법사(여),眞 인챈트리스,prey,타카나시,56586,a5ed996a881dc71a176d4f70820c0769
마법사(여),眞 인챈트리스,prey,Theta™,55418,e260b45939d7b207489f874fdec70c54
마법사(여),眞 인챈트리스,prey,RT븝퍼,57688,7634226f588fb77c0e127cf38428a366
마법사(여),眞 인챈트리스,casillas,그만헤,57092,86ae505b68681d9d43f2ce3cf98ace38
마법사(여),眞 인챈트리스,cain,븝랑고,56304,de2873db95d7f8ea1e4c38a5af04167d
마법사(여),眞 인챈트리스,hilder,꼬끼오헤민,59040,031e673b143f079f471a99fe801ce49c
마법사(여),眞 인챈트리스,prey,차가운별빛,56249,47984a338210274eabc16b17454e749a
마법사(여),眞 인챈트리스,anton,법미는사랑,55584,316abacd960947c8e8dec72b6abcd4e1
마법사(여),眞 인챈트리스,siroco,전능의마테카,60120,f3ab3ff1140b6a0b1e7642fdbfae7b30
마법사(여),眞 인챈트리스,cain,솔플최강직업,56910,9ca87f13400eab3c3a8d39abdf6b525e
마법사(여),眞 인챈트리스,anton,괜찮아요언니,56652,4ad8f9dbe12ec64502f362c64438a83a
마법사(여),眞 인챈트리스,cain,애회,58433,a98b3659aba51b20b2609b0a8acc2a1e
마법사(여),眞 인챈트리스,hilder,꼭끼오혜민,58792,39c0fe2e57da7e0e0d1c027447d8f2e6
마법사(여),眞 인챈트리스,anton,편애안쓸,57424,85b0121f966c78d99a7abeee2d259b08
마법사(여),眞 인챈트리스,diregie,헬리키아,56388,8001a484456c53ed1da32aef752b6a82
마법사(여),眞 인챈트리스,anton,Dlcps,56158,e0b815ca8e14b5938e68ece8034a950e
마법사(여),眞 인챈트리스,casillas,살찐야옹이,56969,2e4ecda351e5ecb7f925e3f0ad8e6018
마법사(여),眞 인챈트리스,cain,장판피해욧!,57517,b2941d5a7eb042585bfd049c41fdea8b
마법사(여),眞 인챈트리스,diregie,창식스키,57544,ce1f948d14e60d47c3a19f6317256591
마법사(여),眞 인챈트리스,prey,Eta™,56222,bf89a789643903240641caf450494466
마법사(여),眞 인챈트리스,prey,(구)스피넬,58216,a0b7e4586e1ad5224522582a0df4e0ef
마법사(여),眞 인챈트리스,cain,븜꽃놀이,57005,23fefff06217da6e17626a15607eaa6f
마법사(여),眞 인챈트리스,prey,헤카테인챈트,58035,ca704ee1f337830a82eb32712af86408
마법사(여),眞 인챈트리스,hilder,돈삭제,57011,e3b2b0c40d9b803e815bf71ea0107b14
