basejob,subjob,server,char_name,char_fame,character_ids
프리스트(남),眞 인파이터,diregie,핵폭탄파이터,60413,f12ee8951f02a1f545d1bfaab63a3bc1
프리스트(남),眞 인파이터,cain,인o,60171,42af1d35a54d3c188425f9b673988f9d
프리스트(남),眞 인파이터,hilder,별준,60852,a9cb76f5d104bd68859f00493d543c63
프리스트(남),眞 인파이터,cain,팡이잉파,60108,9e02c134f6ac7eeffe9e556a9c9f22ef
프리스트(남),眞 인파이터,siroco,더킹바디블로,59976,8264c8ea31070aaafa92c24a648caefe
프리스트(남),眞 인파이터,cain,개패는개장수,59851,6aa45f798869331b2b4eb0092d252d89
프리스트(남),眞 인파이터,bakal,돌리랑도트,59187,a62fccfc103bddb8368128f3eb390e73
프리스트(남),眞 인파이터,cain,미륵산장거한,59295,63cac33bfd53f0ad8bcf65ded7089a92
프리스트(남),眞 인파이터,casillas,최애의펠쨩,59296,230a64e60681df6a9000ff7a6bac3556
프리스트(남),眞 인파이터,cain,진유벅,59246,c76e407e258086e66e00f88dfa8417cc
프리스트(남),眞 인파이터,cain,쎈에,58744,6b53e5365c6f09257378e843a4c6993a
프리스트(남),眞 인파이터,cain,허리케인롤롤,61395,c0fb98104d5271c141fb0f19458650dc
프리스트(남),眞 인파이터,cain,아토믹쵸파,58240,6081b5efb44c9afa4d2a42208956f99c
프리스트(남),眞 인파이터,cain,친에,59676,a628e4011156b177df76ad36af7e2fd7
프리스트(남),眞 인파이터,cain,개꽃ㅠ,60527,24c3d8637e7f45da1151f3087d6bdfc9
프리스트(남),眞 인파이터,cain,동더기,61381,1d9f7add8b1f593b00bd7cb4db1bdfa9
프리스트(남),眞 인파이터,casillas,콘삥슨,60872,d0286958f1cb9f240ca065eb2c7eb18a
프리스트(남),眞 인파이터,casillas,옥슈슈,59565,c124b1983583ee624f27935308ad8fef
프리스트(남),眞 인파이터,cain,작은상점,60506,946437ce6a2080aa69de299a38ea1ed4
프리스트(남),眞 인파이터,cain,배건인파,59935,0858f344ff7d193b8ae9db446c503b8a
프리스트(남),眞 인파이터,siroco,주먹함량,59788,5659a585d5f1a8e3248407842d55a12d
프리스트(남),眞 인파이터,siroco,쫀득말랑,59319,32136add90698fc66ceb4a6821c4beac
프리스트(남),眞 인파이터,siroco,저스티쓰,59535,bb7de10b3c658e200d19fc4c4c4df137
프리스트(남),眞 인파이터,cain,주먹왕손지동,59448,025ee9629aa0d20a97cc25f0e8d7979f
프리스트(남),眞 인파이터,siroco,EL군,60383,9a1b414ba98175972cecaaf0810d931a
프리스트(남),眞 인파이터,cain,인파속사정,59781,4d7fa1c38cd567fcab2148310a6b13ab
