basejob,subjob,server,char_name,char_fame,character_ids
프리스트(남),眞 크루세이더,cain,밥똥던장국성,59665,353716a80f946f535bb81f357b926fc4
프리스트(남),眞 크루세이더,cain,천망치,59145,701d7aec1924b6d2f80e3f8632a9a853
프리스트(남),眞 크루세이더,cain,망치해병,60500,4e09bc842fdd090d3c98b251fec6f73b
프리스트(남),眞 크루세이더,prey,배크주의,58750,165f892b56984ff708198c5a7e4be055
프리스트(남),眞 크루세이더,hilder,DaeMa,60338,fba648f11de21d42a6c976cbb7f3e95b
프리스트(남),眞 크루세이더,cain,™토르,60244,e193bc191def5bd26703c4c79fe600c8
프리스트(남),眞 크루세이더,cain,NT-1[D],59976,f5e95257b6b82470ba54046c4ab79125
프리스트(남),眞 크루세이더,cain,배크모,59066,66371c285e6a8cc924c31d9175e660c5
프리스트(남),眞 크루세이더,casillas,이장g,59036,540a0bd3a6c8918338e80358034688c4
프리스트(남),眞 크루세이더,prey,소금소금,59583,1bfd14157bf86a08e6be0dbf471f2090
프리스트(남),眞 크루세이더,siroco,라인하르트†,56987,e2743d6590194affdd45c791e20a87f1
프리스트(남),眞 크루세이더,cain,유피테르:,59399,5b366cfcf955347209ea3790a747aa56
프리스트(남),眞 크루세이더,hilder,1사단중사,57263,f66f607d1d61f7e9ae7f3f422617fa06
프리스트(남),眞 크루세이더,cain,유피테르†,58526,9d0391b1ead2a5fdf50246b9d8b81567
프리스트(남),眞 크루세이더,hilder,세인트7,58270,ee8c081ee03a9ad839df2064e2b9c788
프리스트(남),眞 크루세이더,cain,백숙달인,60088,722292b7820c859c9de60766832bc9fd
프리스트(남),眞 크루세이더,bakal,배틀크루,58223,28671a32711b5131cfca6ca330123985
프리스트(남),眞 크루세이더,bakal,도움!!!,58595,f26d09be33ff2224a0b0b0529c0a2d53
프리스트(남),眞 크루세이더,prey,신XX,57958,f80177d2a6bf9a28588ea512f45c15e7
프리스트(남),眞 크루세이더,bakal,바위나믹듀오,59899,f42956a16708d1f6adf8a48f3ae49e5d
프리스트(남),眞 크루세이더,cain,Epik배크,58291,82be6a969d1129af69bbfe414e4c931e
프리스트(남),眞 크루세이더,casillas,백임자,59275,0b8a132c977912fe2efd93fdbb023788
프리스트(남),眞 크루세이더,cain,짱긔여어,57678,c4c4781b477e0b9fc2a8173ef46a66a3
프리스트(남),眞 크루세이더,bakal,혼자배크,58923,226210f5857fcaa10b8578af3f7bfdfb
프리스트(남),眞 크루세이더,casillas,호1구배크,56714,1c57613e9b8c6baf0b94409df3957d7f
프리스트(남),眞 크루세이더,bakal,ㅣ1호기ㅣ,58408,4f74b030fe5c5dd1e3a2b4a2dd82896e
프리스트(남),眞 크루세이더,cain,PiaStoryQ,58394,4ab6db39910451845119027212844fd9
프리스트(남),眞 크루세이더,cain,또띠앙,60172,22a2082ba638a29359f6886ceccef82a
프리스트(남),眞 크루세이더,cain,이뱨크,58317,221fa87129d9304cafcc17bc82388c84
프리스트(남),眞 크루세이더,bakal,기세의배크,58187,b1604dfb42b74ef691458c1193e82711
프리스트(남),眞 크루세이더,casillas,이걸하네ㅋㅋ,57255,3dfbe92ad0feae7888d14d3e3ad20ce5
프리스트(남),眞 크루세이더,hilder,영광스런축복,59362,3a315f384d666e4a2b11667436d5936b
프리스트(남),眞 크루세이더,hilder,-DUN-Limit,57701,79151229e63c9571ed498b90e58418b6
프리스트(남),眞 크루세이더,cain,그뚱보크루,60166,abdd8f6e60a488cb086d42b69f3c9e73
