basejob,subjob,server,char_name,char_fame,character_ids
프리스트(여),眞 크루세이더,hilder,님잠깐용축좀,58400,9140f442111c292acd90ee9d12879f18
프리스트(여),眞 크루세이더,cain,단짝핌,59336,0909ff89fec5ba4d90ffcb77777e01bc
프리스트(여),眞 크루세이더,bakal,버퍼아님미다,56841,98c42c2ab229e944add5ad3ee3855025
프리스트(여),眞 크루세이더,cain,루비글로리아,59194,f9e7344a920b58f68eecdbf9258a76eb
프리스트(여),眞 크루세이더,casillas,스몰벨리,58968,9ddb351c8e4878eea39ed18596ebddf9
프리스트(여),眞 크루세이더,cain,무명사무라이,57369,5e0323e4ef2e5a7cfd9d80e3630c2510
프리스트(여),眞 크루세이더,casillas,봄하얀,59012,010db58c11f40845dcf4cba8ef3f2af3
프리스트(여),眞 크루세이더,anton,巫女!,56029,3b135010aced4b35fda342678af504aa
프리스트(여),眞 크루세이더,cain,아기호박벌,57446,0e73d819e21b633b856917c143ad721c
프리스트(여),眞 크루세이더,diregie,에비츄~♡,57806,54621e4f43ba831d41fd9a43469cedcf
프리스트(여),眞 크루세이더,cain,Elyna,58293,59ccc248259eeb02da0b5a2080717fef
프리스트(여),眞 크루세이더,diregie,레가핌,58479,37abbf58d0b88ad7da7a0b312d6a8d77
프리스트(여),眞 크루세이더,cain,이계모닥불,57112,9521117945c8c92ff1ce5c2f6f3c2ab6
프리스트(여),眞 크루세이더,cain,Ito_Chinami,57579,2cfbe2434266ce0046f42aae85902afd
프리스트(여),眞 크루세이더,prey,야티루,60554,a56ab19df403134e5c85963d5e39d8b4
프리스트(여),眞 크루세이더,bakal,메모아,55575,81b89af13b341eab74906ed3129f3fa0
프리스트(여),眞 크루세이더,hilder,왕태우,58543,9522cd631afc45c0085cce2aadea3ef0
프리스트(여),眞 크루세이더,cain,가위치기명장,55963,c253b08474f314d591b68e4742c480bd
프리스트(여),眞 크루세이더,diregie,힐받으세요!,57797,89a786174f5e87703b74160d360e4708
프리스트(여),眞 크루세이더,prey,세라핌리엘,56194,fee2595c805c34b7597932d291f8f01d
프리스트(여),眞 크루세이더,prey,眞에반젤라스,54727,4ce7766a359b31aa86ebb082c87df413
